POA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2600,1537,1783,3324,95,113,209,242,299,539,109,97,204,68,65,134,29,28,57,23,26,53,10,7,18,8,5,12,650,718,1366,0,0,3,1131,1256,2387,255,307,557,21,20,40,1505,1688,3190,187,219,409,3225,3694,6919
POA2601,222,158,376,71,61,127,533,647,1184,222,263,481,142,160,307,49,60,109,60,76,135,23,30,57,16,17,31,357,291,651,0,0,0,1400,1553,2948,1070,1164,2234,29,21,52,2566,2792,5359,307,245,549,3090,3195,6292
POA2602,6168,7023,13189,357,378,736,1079,1224,2308,343,393,732,255,285,542,91,86,180,85,93,177,44,58,104,65,62,122,2712,2725,5437,3,5,3,4681,4928,9610,1505,1510,3015,116,106,223,6663,6920,13579,946,969,1914,13769,14916,28690
POA2603,1912,1876,3794,99,96,194,387,435,820,114,131,244,122,130,251,48,55,102,32,46,77,12,17,30,14,18,35,857,849,1707,4,7,7,1591,1691,3279,415,438,853,26,30,55,2136,2248,4381,384,410,793,4432,4535,8961
POA2604,1573,1753,3325,171,198,368,556,604,1167,187,178,362,157,172,327,73,64,137,61,64,126,10,10,28,34,22,54,960,993,1951,0,0,3,2037,2114,4156,438,456,894,41,44,81,2692,2810,5503,487,533,1019,4750,5097,9842
POA2605,2827,3233,6054,168,177,349,316,363,685,65,80,140,91,83,175,19,25,47,23,31,49,9,7,18,17,24,41,893,959,1850,0,0,0,1434,1569,3003,436,468,913,23,27,45,2058,2248,4311,364,355,718,5249,5833,11083
POA2606,1766,1801,3564,98,112,206,354,325,681,92,103,197,88,98,191,25,28,58,19,15,37,17,13,32,15,16,35,959,969,1925,0,0,3,1575,1576,3154,585,660,1242,28,23,51,2287,2366,4652,359,316,673,4414,4482,8894
POA2607,3557,3828,7384,127,135,259,354,338,689,119,98,221,89,83,177,20,34,55,20,22,39,11,11,22,5,5,11,1290,1228,2522,3,3,7,1917,1826,3743,412,491,907,25,27,56,2488,2478,4961,264,292,555,6312,6596,12903
POA2609,228,169,395,8,3,11,55,30,91,0,0,0,12,8,19,0,0,3,5,0,5,0,0,0,0,0,4,59,65,129,0,0,0,134,108,242,8,7,17,3,3,5,157,122,279,104,66,170,491,356,843
POA2611,6392,6898,13292,186,236,423,718,794,1513,160,168,326,175,170,346,68,63,136,64,60,121,19,17,32,46,48,88,3299,3447,6744,3,0,3,4549,4764,9315,554,651,1210,60,57,118,5353,5711,11066,761,879,1641,12512,13487,26000
