POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA2600,0,34,0,277,0,0,0,0,0,0,0,0,0,0,81,82,0,0,0,0,0,0,0,0,0,3,0,6,246,25,5,112,7,100,4,79,9,274,84,953
POA2601,0,3,0,102,0,0,0,0,0,0,0,0,0,4,32,36,0,0,0,0,0,0,0,0,0,0,0,3,173,4,8,70,12,55,0,8,3,34,33,393
POA2602,4,23,0,435,5,0,0,4,0,0,0,4,0,19,202,239,0,0,3,0,0,3,0,0,0,13,17,32,887,144,24,373,44,273,21,192,20,767,231,2981
POA2603,4,39,0,288,3,3,0,0,0,0,0,0,0,3,53,61,0,0,0,0,0,0,0,0,0,0,3,7,306,42,8,107,14,109,3,60,11,232,65,956
POA2604,0,17,0,261,9,0,0,4,0,4,0,0,0,0,99,123,0,0,0,0,4,0,0,0,0,3,3,12,522,24,13,119,13,115,3,62,8,195,104,1196
POA2605,3,27,0,196,3,0,0,0,0,0,0,0,0,10,78,97,0,0,0,0,0,0,0,0,0,4,3,12,214,39,13,86,17,88,7,75,8,438,86,1070
POA2606,0,8,0,126,3,0,0,0,3,0,0,0,0,4,60,65,0,0,0,0,0,0,0,0,0,3,7,8,312,40,3,154,14,111,6,69,13,276,63,1082
POA2607,3,25,0,208,0,4,0,0,0,6,0,0,0,5,62,75,0,0,0,0,0,0,0,0,0,8,0,9,294,52,7,147,17,149,11,101,20,595,69,1460
POA2609,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,16,3,0,13,0,7,0,5,0,19,6,64
POA2611,3,27,0,371,12,0,0,3,0,3,0,0,0,16,155,190,0,0,0,0,0,3,0,0,0,12,7,25,801,88,22,287,55,243,19,178,23,1030,173,2924
POA2612,3,26,0,313,4,0,0,3,0,0,0,0,0,5,144,156,0,0,0,0,0,0,0,0,0,0,5,4,680,65,13,217,27,180,8,92,14,304,153,1760
POA2614,0,29,0,246,4,0,0,4,3,0,0,0,0,9,99,124,0,0,0,0,0,0,0,0,0,8,9,16,447,77,16,171,30,164,11,151,22,783,112,1983
POA2615,0,15,0,290,16,0,0,8,0,8,0,0,0,15,212,259,3,0,0,0,0,0,0,0,0,17,9,34,1234,111,25,458,82,425,13,244,48,1288,248,4180
POA2617,3,23,0,336,14,0,0,3,0,4,0,4,0,11,200,245,0,0,0,0,0,5,0,0,0,7,6,20,1030,150,26,435,55,389,13,264,31,877,219,3483
POA2618,0,3,0,21,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,17,4,8,0,15,0,56,13,155
POA2900,0,3,0,31,3,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,3,71,5,4,23,3,38,0,18,0,59,18,245
POA2902,0,7,0,145,9,0,0,0,0,3,0,0,0,6,86,109,0,0,0,0,0,0,0,0,0,3,7,15,318,47,8,145,26,152,17,142,25,541,103,1513
POA2903,3,3,0,100,0,0,0,0,0,0,0,0,0,5,44,52,4,0,3,0,0,0,0,0,0,3,0,12,232,29,4,108,8,98,10,78,19,329,44,975
POA2904,0,10,0,150,3,0,0,0,0,0,3,0,0,7,66,81,0,0,0,0,0,0,0,0,0,7,4,13,314,28,5,143,15,163,12,102,21,469,78,1353
POA2905,3,11,0,188,11,0,0,3,4,3,0,3,0,8,105,137,3,0,0,3,0,0,0,0,0,12,3,24,841,68,17,327,61,300,13,138,32,591,121,2518
POA2906,0,0,0,120,7,0,0,0,0,3,0,0,0,0,85,103,0,0,3,0,0,0,0,0,0,10,4,12,458,38,14,182,35,148,6,67,21,390,90,1448
POA2911,0,3,0,50,0,0,0,0,0,3,0,0,0,0,26,35,0,0,0,0,0,0,0,0,0,0,0,0,218,11,4,60,7,35,0,9,0,62,30,442
POA2912,0,0,0,34,0,0,0,0,0,3,0,0,0,0,44,47,0,0,0,0,0,0,0,0,0,0,4,4,178,16,4,69,6,80,7,29,6,86,48,528
POA2913,4,8,0,316,15,0,0,3,3,3,0,0,0,5,163,189,3,0,0,0,0,4,0,0,0,6,6,21,1174,92,23,451,62,350,10,154,39,616,175,3143
POA2914,0,6,0,198,4,0,0,3,0,0,0,3,0,5,107,121,3,0,0,0,0,0,0,0,0,3,3,7,732,57,14,241,38,170,7,69,9,269,115,1715
