POA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA2612,412,4,0,0,0,0,0,49,465,1111,17,6,0,0,0,0,130,1265,1079,59,13,8,0,0,0,133,1292,566,105,47,9,4,0,0,97,833,236,91,76,24,6,0,0,57,483,144,54,97,46,10,5,0,32,385,100,62,110,41,9,6,0,25,348,103,44,109,53,16,4,3,41,375,79,36,109,45,12,4,6,22,316,53,42,84,45,16,3,0,21,255,47,31,83,52,16,6,3,22,261,35,30,56,39,14,5,0,22,207,12,14,41,30,16,9,6,21,147,14,11,26,20,17,7,5,18,114,10,15,29,32,18,8,8,23,140,3991,602,882,450,153,54,32,706,6872
POA2614,429,0,0,0,0,0,0,39,473,503,25,11,3,0,0,0,47,591,428,80,39,6,0,0,0,37,594,292,165,152,31,11,3,3,33,695,172,139,234,93,16,9,3,36,700,140,109,269,122,30,7,3,22,694,127,79,276,116,34,3,4,30,674,124,69,195,111,23,14,5,25,558,113,72,200,114,35,9,10,20,572,76,62,172,101,37,9,6,23,481,72,71,196,124,60,13,10,28,573,42,35,195,134,51,17,9,30,522,27,22,118,102,50,16,13,29,375,21,14,69,72,51,21,13,22,271,15,26,80,76,58,23,22,27,333,2572,967,2204,1204,460,145,100,443,8103
POA2615,1139,9,0,0,0,0,0,113,1261,1028,90,38,7,0,0,0,103,1265,939,258,181,55,18,3,0,97,1558,656,447,546,144,38,12,3,83,1934,387,303,661,287,72,22,8,75,1824,286,249,673,301,115,35,21,72,1754,233,206,500,256,105,26,19,76,1417,191,159,483,278,87,33,14,65,1311,162,131,466,317,140,33,15,64,1322,125,128,448,284,116,46,15,62,1226,110,114,502,315,119,30,22,58,1271,55,76,277,192,98,41,16,61,813,28,38,139,118,62,30,23,34,472,21,22,78,52,54,18,16,17,274,18,25,50,49,36,14,27,41,261,5369,2252,5048,2659,1061,352,193,1026,17957
POA2617,824,4,0,0,0,0,0,99,930,1843,49,18,6,0,0,0,222,2142,1352,157,67,19,7,0,0,140,1744,730,318,220,63,13,3,4,100,1456,366,225,356,131,32,6,4,62,1186,212,135,368,132,41,13,9,66,969,167,143,312,125,31,7,11,45,835,134,112,300,151,43,8,11,49,812,124,112,317,188,65,20,15,68,908,95,78,345,238,80,21,4,63,930,77,98,284,197,73,17,17,46,802,51,32,154,110,36,21,3,32,448,31,35,71,95,38,20,12,23,322,14,20,63,47,34,16,9,23,225,21,24,64,40,30,22,26,67,284,6046,1549,2939,1550,519,169,112,1108,13991
POA2618,52,0,0,0,0,0,0,13,60,28,3,0,0,0,0,0,7,33,14,0,5,0,0,0,0,9,23,17,5,7,0,0,0,0,0,27,11,0,21,9,0,0,0,0,37,6,6,25,21,3,0,0,15,80,4,9,26,10,3,0,0,0,50,4,10,22,9,6,0,0,4,63,3,7,14,7,3,3,0,3,45,4,4,22,18,8,0,0,3,60,3,0,14,19,5,0,3,3,47,0,0,14,14,5,3,0,0,40,0,0,3,7,3,3,3,0,21,0,0,0,0,5,0,0,6,10,0,0,0,0,0,0,0,0,3,147,48,164,120,41,12,6,55,595
POA2900,31,0,0,0,0,0,0,3,34,66,0,0,0,0,0,0,3,70,70,26,0,3,0,0,0,9,115,53,35,13,0,0,0,0,11,111,23,15,9,3,0,0,0,3,55,22,10,19,3,0,0,0,4,61,19,9,14,11,0,0,0,3,57,10,12,11,18,6,0,0,7,64,11,8,24,14,10,0,0,7,66,10,3,26,15,0,0,0,4,61,7,12,20,10,5,4,0,0,56,3,4,21,19,3,0,0,4,56,0,4,10,7,7,3,0,0,31,0,3,4,5,7,0,0,0,18,0,3,4,6,0,0,0,0,16,326,142,178,108,43,13,4,57,872
POA2902,433,4,0,0,0,0,0,42,474,289,32,5,9,0,0,0,43,373,225,62,43,21,6,0,0,29,381,139,109,127,42,12,3,0,29,462,102,82,178,77,23,6,8,35,519,95,71,233,78,33,14,9,19,560,75,77,205,90,38,8,11,31,535,76,55,195,100,29,17,3,27,503,68,62,177,111,34,9,5,19,494,35,50,258,175,59,15,5,28,628,52,60,194,134,56,22,6,21,547,23,35,115,71,33,14,10,22,321,27,12,57,48,31,9,10,16,188,11,4,20,19,16,10,13,6,97,7,8,15,18,6,8,8,6,72,1662,710,1821,985,377,134,93,374,6160
POA2903,258,0,0,0,0,0,0,18,285,214,11,6,3,0,0,0,12,244,175,44,26,7,0,0,0,12,261,87,70,72,44,5,0,3,14,296,58,51,133,59,12,5,0,17,328,48,40,121,59,21,7,4,10,306,58,30,107,66,14,0,5,11,295,54,33,128,78,24,11,8,14,352,41,37,137,87,37,10,3,18,373,34,35,151,104,41,13,3,23,402,24,29,113,81,29,15,7,7,301,11,17,48,44,14,6,3,15,158,10,12,32,15,12,3,6,10,83,3,3,15,12,8,7,3,4,60,4,8,9,16,13,4,6,6,53,1075,423,1096,667,229,77,42,190,3803
POA2904,384,0,0,0,0,0,0,29,410,308,22,4,0,0,0,0,21,352,212,52,41,5,4,0,0,17,337,121,92,106,39,5,3,0,13,384,61,73,174,67,13,4,0,17,422,54,51,160,82,18,3,0,15,385,54,64,201,92,20,8,4,19,462,60,61,229,107,33,3,0,25,509,56,65,246,145,53,9,13,19,606,40,44,222,137,48,6,3,22,527,25,37,139,108,19,7,5,22,366,11,19,79,51,24,13,4,11,219,11,10,51,40,27,9,6,26,180,7,3,34,35,28,5,13,31,151,7,7,28,40,22,12,4,97,221,1419,608,1715,946,326,86,66,380,5544
POA2905,860,10,0,0,0,0,0,103,970,791,79,29,5,0,0,0,60,963,593,203,155,46,13,0,0,48,1060,285,244,308,125,32,14,3,58,1061,178,165,349,134,58,13,10,43,950,125,151,398,201,61,23,16,46,1023,144,121,435,212,71,15,14,38,1047,140,148,473,278,99,28,16,48,1231,119,125,476,273,89,21,11,54,1161,81,77,283,181,84,20,10,46,776,51,56,206,137,47,23,11,40,573,25,35,105,95,44,9,4,22,346,18,10,59,64,39,20,12,21,245,7,11,41,32,26,10,19,14,169,4,10,33,27,20,11,14,22,150,3428,1445,3356,1813,690,215,129,646,11712
POA2906,659,7,0,0,0,0,0,74,737,555,54,22,4,0,0,0,42,677,310,112,95,25,10,0,0,30,581,168,157,212,73,18,7,4,33,667,101,97,233,99,30,10,7,18,597,93,101,281,119,44,5,13,30,688,92,114,355,170,42,19,10,47,839,103,78,312,185,69,19,8,30,797,59,62,198,122,40,5,8,17,508,40,46,140,103,31,9,7,18,393,21,21,118,81,27,5,4,17,286,16,14,65,65,29,9,10,14,212,6,6,44,38,38,7,5,12,165,4,7,22,25,22,4,10,3,104,4,9,22,15,13,3,5,6,78,2223,882,2127,1118,416,106,80,387,7330
POA2911,74,0,0,0,0,0,0,7,76,135,10,0,0,0,0,0,16,165,177,57,16,4,0,0,0,15,263,139,121,90,16,0,0,0,25,380,40,62,94,27,0,0,0,12,238,24,33,62,26,5,0,0,10,162,21,20,63,11,3,0,0,0,113,11,13,33,12,3,0,0,3,73,8,15,29,11,3,0,0,0,67,9,16,21,16,4,0,0,3,65,9,3,15,5,0,0,0,0,33,3,0,14,3,4,4,0,0,31,0,0,7,3,4,0,0,0,18,0,0,4,3,3,0,0,0,8,0,0,0,0,0,0,0,3,4,649,342,442,149,31,12,0,87,1711
POA2912,177,4,0,0,0,0,0,18,195,277,14,0,0,0,0,0,38,327,241,44,21,3,0,3,0,27,341,152,83,64,14,0,3,0,32,345,61,58,105,33,9,0,0,20,284,36,37,97,32,16,3,0,14,246,46,28,72,38,11,3,0,11,201,23,35,51,30,9,3,4,7,150,18,33,34,25,9,0,0,7,127,9,26,32,24,9,0,0,9,101,3,5,21,19,13,0,0,3,76,0,7,15,8,6,0,3,6,40,3,7,7,5,0,0,0,3,30,0,0,3,3,0,0,3,3,12,0,5,0,6,0,0,0,0,11,1044,377,531,240,78,22,14,190,2492
POA2913,980,3,3,0,0,0,0,98,1085,1094,71,31,8,0,0,0,109,1315,1061,319,149,38,7,3,0,104,1675,705,501,485,108,22,8,6,121,1954,348,310,568,199,34,13,4,66,1544,221,213,545,208,63,15,6,77,1343,176,180,466,244,69,9,7,66,1225,158,164,440,213,62,13,6,51,1108,117,137,289,185,52,17,4,45,853,54,78,244,144,54,19,11,38,645,41,64,226,138,47,17,9,31,575,20,32,131,82,28,12,8,13,325,15,21,62,65,26,3,14,21,221,4,8,27,38,24,13,12,7,142,0,11,14,12,4,5,3,8,64,4994,2111,3685,1684,508,148,94,852,14071
POA2914,691,0,0,0,0,0,0,84,777,688,40,11,3,0,0,0,74,813,624,195,104,21,5,4,0,53,1004,415,417,427,115,21,4,3,61,1461,212,278,598,202,62,14,9,61,1431,133,179,545,222,63,10,17,37,1195,102,148,347,158,44,10,6,29,843,76,86,217,88,46,11,3,24,554,39,60,139,84,25,10,3,26,383,20,40,122,68,32,5,0,14,304,11,26,79,46,18,7,4,4,204,4,11,52,37,16,3,3,12,132,4,10,23,27,13,7,3,4,90,3,0,15,4,3,0,0,0,31,0,3,9,3,3,0,3,3,25,3023,1486,2678,1071,340,89,53,493,9242
