POA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA2612,511,352,284,189,55,16,2414,32,276,116,105,91,66,22,4,711,718,1774,521,377,322,221,83,44,4065,84,233,140,149,106,73,35,15,841,205,250,92,98,68,29,16,12,776,51,14,13,11,6,4,0,0,103,20,20,21,26,27,22,5,10,145,278,287,127,136,104,54,22,24,1031,18,21,8,10,6,11,9,5,95,337,461,223,192,126,104,66,42,1560,1520,4003,1651,1322,1034,718,295,158,10707
POA2614,546,498,329,278,106,21,2124,5,119,199,204,177,137,28,3,873,254,868,897,652,532,418,232,60,3912,78,217,248,243,193,191,113,46,1334,151,309,257,228,149,140,113,46,1388,41,26,28,12,9,12,5,5,140,23,24,40,42,40,65,38,9,283,211,364,325,285,196,217,151,60,1809,7,19,19,11,16,31,26,11,133,114,148,135,127,98,145,167,110,1042,685,2065,2363,2029,1537,1415,826,316,11229
POA2615,740,446,360,198,66,9,2345,7,220,304,220,229,163,23,3,1166,319,1677,1578,953,751,610,184,34,6111,160,760,871,664,545,387,99,29,3511,493,1287,1261,887,621,441,160,38,5192,110,93,93,57,47,33,5,3,437,52,90,128,129,137,154,42,11,736,648,1464,1484,1066,806,631,205,52,6367,14,33,45,40,44,47,25,5,258,297,349,335,269,304,316,175,78,2112,1459,5007,5352,3666,3042,2352,781,210,21877
POA2617,846,497,372,185,57,21,3053,31,265,215,232,213,145,17,0,1130,994,2274,1243,702,686,421,152,48,6510,267,529,447,383,368,232,68,34,2336,411,691,531,402,358,257,80,25,2752,82,56,35,24,27,14,8,0,238,36,51,57,73,109,78,22,10,431,524,801,627,500,491,345,107,28,3424,28,44,29,27,38,37,8,8,226,490,433,303,236,272,204,124,127,2188,2398,5348,3721,2581,2445,1574,528,260,18855
POA2618,11,17,11,17,8,0,78,0,0,10,9,15,5,0,0,47,4,30,39,47,34,32,13,0,208,3,8,17,25,18,14,7,0,98,16,17,46,57,29,24,16,0,205,0,0,3,0,0,0,0,0,9,0,4,0,3,4,4,3,0,31,22,22,51,64,37,31,19,0,242,0,0,0,0,0,6,0,0,11,26,13,20,18,18,16,12,3,124,56,74,152,178,145,129,56,3,798
POA2900,49,15,9,13,9,0,170,4,12,8,7,16,8,0,0,62,11,177,86,39,46,37,20,0,419,6,42,22,35,26,26,4,5,164,31,36,32,32,19,19,6,5,179,9,0,3,3,0,0,0,0,12,0,5,0,11,3,10,3,0,29,40,46,41,43,20,31,9,5,227,3,3,0,5,4,4,3,0,24,11,37,15,19,24,18,4,6,127,81,396,224,160,147,120,50,15,1194
POA2902,186,164,142,110,29,0,723,4,62,93,111,108,59,8,3,444,76,391,536,436,389,301,76,6,2206,49,185,265,286,245,207,57,10,1290,142,373,337,285,262,191,54,5,1651,36,23,25,14,18,13,5,0,141,11,23,42,38,61,77,13,8,274,192,417,405,345,346,274,76,10,2065,4,14,11,17,20,16,14,3,93,99,107,130,115,138,130,66,17,793,424,1269,1620,1461,1381,1094,322,55,7624
POA2903,123,103,109,65,7,0,492,3,28,66,56,73,35,9,0,261,63,285,312,260,274,149,39,5,1384,32,138,150,156,183,101,19,3,777,109,201,190,180,172,102,34,10,990,21,22,15,16,16,5,0,0,95,3,8,28,20,49,20,6,3,148,135,235,239,205,236,125,40,7,1230,0,8,12,15,15,13,10,0,62,56,47,59,68,97,71,30,7,446,289,819,958,867,984,556,153,25,4657
POA2904,158,162,205,75,14,6,715,6,45,85,113,125,46,6,0,426,107,386,438,404,435,190,53,19,2028,53,173,208,273,267,134,36,7,1168,141,297,269,262,288,131,61,21,1465,36,19,18,14,20,5,4,0,113,14,11,18,34,79,44,25,4,228,186,329,307,299,386,182,87,26,1805,4,16,12,13,15,20,5,6,90,61,56,65,93,112,106,111,151,749,422,1069,1280,1362,1550,760,316,220,6983
POA2905,225,236,192,87,18,0,925,15,80,121,165,154,40,4,3,578,197,808,756,580,541,190,56,14,3129,137,509,530,589,501,179,52,13,2509,477,1053,758,756,644,213,79,17,4002,87,70,55,48,31,12,3,3,310,37,64,70,124,110,47,15,7,457,596,1190,880,931,779,270,99,26,4770,12,21,27,34,48,31,6,3,178,227,213,187,239,225,152,109,58,1422,1181,2986,2730,2780,2439,945,342,114,13511
POA2906,134,155,117,30,8,0,521,8,62,84,104,67,21,4,0,355,131,408,451,441,273,124,38,9,1869,101,268,358,452,232,85,18,7,1521,285,575,472,530,288,121,65,17,2351,59,41,27,25,19,9,6,0,189,25,25,43,78,61,40,16,3,289,366,637,538,637,373,165,87,20,2832,4,20,17,25,15,15,8,3,99,144,120,130,174,113,75,65,23,842,761,1588,1714,1984,1192,519,230,60,8040
POA2911,233,81,41,21,3,0,601,4,54,24,23,18,4,0,0,133,79,397,247,94,47,20,8,0,897,23,134,117,45,23,9,3,0,357,43,135,80,37,26,12,4,0,345,5,6,6,3,0,0,0,0,18,3,8,13,3,5,3,5,0,41,53,148,102,45,35,18,8,0,405,3,3,3,5,3,8,0,0,26,26,70,47,8,14,12,3,0,171,195,1019,768,308,176,90,33,4,2591
POA2912,197,88,50,9,0,0,560,3,56,42,23,22,4,0,0,155,143,403,265,154,85,34,3,5,1088,47,147,157,103,65,24,0,3,539,93,125,123,82,46,12,9,3,495,12,12,4,3,3,0,0,0,33,15,15,12,15,10,4,7,0,75,120,147,145,103,57,17,13,5,603,4,16,9,7,3,4,0,0,41,80,112,75,49,40,17,10,0,377,413,1063,881,525,317,110,33,12,3363
POA2913,901,570,335,120,39,0,2777,17,237,288,208,170,58,14,0,983,445,2053,1501,970,500,257,80,5,5811,178,749,748,598,370,178,42,4,2871,421,1065,718,573,327,172,73,16,3361,87,79,53,40,30,9,0,0,291,35,57,90,94,81,45,17,0,421,537,1196,856,702,439,234,88,25,4071,11,43,39,44,36,31,8,3,221,269,401,310,260,181,110,82,21,1640,1492,5458,4641,3357,2034,981,357,62,18382
POA2914,1066,427,164,46,12,0,2351,11,166,221,149,73,22,6,0,650,289,1503,1455,627,223,95,26,0,4211,97,540,675,439,169,69,20,3,2020,260,596,594,347,175,78,24,3,2071,47,46,36,20,8,3,0,0,160,13,34,79,59,33,19,11,0,247,316,667,711,418,213,98,37,3,2472,8,30,53,35,13,8,3,0,148,141,194,239,131,76,33,27,7,846,897,3718,4418,2225,932,376,128,16,12709
