POA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2900,..,10,12,4,3,6,0,0,0,36,..,3,30,20,24,40,45,23,10,190,3,3,6,0,0,3,0,3,0,25,103,98,204,103,110,109,100,46,16,901,..,8,206,114,78,95,94,45,9,650,..,32,57,35,13,10,3,0,0,145,..,0,8,19,30,15,10,3,4,90,206,..,..,..,..,..,..,..,..,206,..,47,..,..,..,..,..,..,..,47,..,55,21,8,0,4,0,0,0,92,..,13,8,0,12,3,5,3,3,41,..,8,8,0,0,0,0,0,0,13,..,25,50,7,13,7,0,0,0,101,..,11,59,53,44,61,52,26,11,323,4,4,19,7,0,7,3,3,0,51,211,199,429,246,198,200,172,79,25,1772
POA2902,..,31,48,13,13,18,12,0,3,138,..,17,33,65,90,186,196,95,41,725,26,30,22,11,12,28,27,4,3,167,1371,799,802,1015,962,1041,788,265,66,7106,..,11,629,1158,1109,1192,1055,296,35,5477,..,105,299,240,226,133,59,23,0,1081,..,30,81,179,199,130,49,18,11,698,2775,..,..,..,..,..,..,..,..,2775,..,780,..,..,..,..,..,..,..,780,..,447,264,121,41,20,0,0,0,891,..,69,33,21,34,37,36,21,11,267,..,45,26,30,13,3,3,0,0,118,..,51,117,39,33,42,16,4,3,307,..,31,79,147,196,273,284,133,50,1204,52,51,46,33,32,58,47,3,3,324,2828,1625,1588,1969,1878,1880,1550,505,110,13933
POA2903,..,8,12,4,18,19,0,0,0,64,..,7,27,25,57,113,101,48,25,406,5,24,18,6,9,9,10,7,4,88,814,504,533,613,616,724,429,133,49,4409,..,19,393,732,705,864,596,163,21,3492,..,67,215,178,142,75,29,7,0,710,..,11,52,104,120,83,34,20,9,426,1710,..,..,..,..,..,..,..,..,1710,..,470,..,..,..,..,..,..,..,470,..,322,178,77,30,9,0,0,0,620,..,33,26,13,24,32,14,9,9,155,..,31,24,12,0,3,5,0,0,76,..,27,46,21,29,31,4,0,0,168,..,28,64,60,117,190,149,65,35,710,17,42,27,18,18,16,25,9,3,175,1726,1053,1030,1214,1176,1309,861,271,76,8723
POA2904,..,12,16,5,13,13,7,0,0,66,..,17,22,35,47,130,117,118,79,557,8,12,13,12,7,20,17,6,6,104,1076,741,672,770,914,1064,526,281,123,6166,..,20,528,1018,1142,1453,767,260,71,5264,..,68,226,172,167,115,35,6,0,786,..,14,46,100,174,108,31,24,13,508,2165,..,..,..,..,..,..,..,..,2165,..,785,..,..,..,..,..,..,..,785,..,461,330,66,35,11,0,0,0,903,..,65,46,11,18,22,26,19,16,220,..,45,32,9,8,3,0,0,0,98,..,25,43,16,26,25,11,7,0,149,..,30,48,66,98,212,177,150,97,866,35,35,37,20,21,36,21,10,8,220,2197,1547,1340,1473,1688,1984,1070,469,193,11961
POA2905,..,48,40,23,29,36,15,5,0,192,..,24,80,103,175,309,230,139,49,1115,40,65,57,28,31,39,25,5,9,299,2733,1835,2023,1885,2176,1799,835,361,106,13753,..,66,1671,2216,2511,2326,976,327,54,10137,..,307,854,469,412,266,46,13,0,2369,..,51,196,360,460,213,62,44,17,1402,5500,..,..,..,..,..,..,..,..,5500,..,1595,..,..,..,..,..,..,..,1595,..,1266,595,124,56,21,0,0,0,2070,..,153,90,29,69,63,68,53,24,551,..,98,97,37,25,17,3,3,0,287,..,113,153,71,61,66,31,12,3,511,..,59,244,243,354,504,330,185,68,1989,97,137,118,74,68,69,54,16,8,624,5592,3852,4028,3618,4010,3551,1566,643,168,27029
POA2906,..,27,26,6,9,19,5,5,0,90,..,14,59,69,113,158,135,103,21,678,25,53,27,15,30,19,12,7,3,194,1712,1339,1179,1225,1537,856,464,247,64,8637,..,30,1004,1469,1927,1140,556,225,45,6398,..,192,481,293,239,113,25,12,0,1362,..,27,127,226,285,103,36,21,8,831,3445,..,..,..,..,..,..,..,..,3445,..,1129,..,..,..,..,..,..,..,1129,..,912,296,52,35,14,8,0,0,1312,..,88,55,30,37,36,29,18,18,306,..,58,39,13,22,4,0,0,0,138,..,62,68,28,27,27,5,6,0,227,..,37,119,144,237,264,184,139,38,1156,57,89,62,26,45,32,23,15,3,355,3509,2625,2249,2281,2848,1741,868,432,108,16661
POA2911,..,33,35,8,4,3,0,0,0,78,..,11,36,20,15,24,16,13,3,132,3,6,5,5,0,6,0,0,0,24,513,229,612,379,187,132,58,24,3,2145,..,30,640,624,261,152,71,28,3,1815,..,84,205,83,43,9,3,0,0,426,..,3,12,32,26,7,3,0,0,86,1047,..,..,..,..,..,..,..,..,1047,..,138,..,..,..,..,..,..,..,138,..,47,47,6,3,0,0,0,0,101,..,24,26,9,5,16,10,3,0,102,..,42,34,9,4,0,0,0,0,86,..,71,85,12,3,3,3,0,0,181,..,28,76,49,24,23,24,13,4,239,3,10,12,5,3,5,0,0,0,42,1047,479,1128,824,385,223,114,51,6,4263
POA2912,..,105,82,10,6,13,7,0,0,210,..,26,66,34,39,32,21,7,7,231,4,12,14,3,9,0,0,5,0,51,589,493,638,491,342,211,107,32,8,2905,..,36,503,716,462,267,121,35,9,2154,..,96,179,81,44,17,10,0,0,426,..,3,23,42,55,27,9,3,0,171,1158,..,..,..,..,..,..,..,..,1158,..,280,..,..,..,..,..,..,..,280,..,139,72,15,5,4,0,0,0,236,..,54,47,7,6,12,18,7,0,158,..,94,55,20,4,3,0,0,0,176,..,227,184,32,13,19,7,0,0,472,..,47,139,78,68,52,28,15,9,434,5,18,35,11,9,4,0,5,0,88,1157,990,1238,997,671,414,181,70,16,5740
POA2913,..,224,168,38,32,30,7,0,0,496,..,58,246,201,209,234,222,128,19,1321,33,88,76,27,28,43,32,4,6,331,3509,2263,3391,2752,2204,1388,840,334,62,16744,..,121,3148,3721,2885,1776,997,358,50,13052,..,444,1317,585,332,131,50,5,4,2876,..,35,164,344,406,174,57,28,14,1218,7264,..,..,..,..,..,..,..,..,7264,..,1923,..,..,..,..,..,..,..,1923,..,860,432,110,45,17,3,0,0,1468,..,207,189,57,46,92,73,43,20,722,..,210,195,63,27,8,7,0,0,511,..,451,419,106,84,52,18,8,0,1128,..,118,513,395,394,381,302,155,41,2307,84,135,141,58,43,68,62,12,9,601,7347,4502,6508,5436,4260,2710,1559,609,126,33063
POA2914,..,139,105,12,12,7,4,0,0,282,..,43,146,115,100,88,68,20,3,578,30,43,52,20,16,9,9,8,3,181,3366,1520,2363,2515,1333,645,309,115,19,12177,..,84,2401,3921,2032,838,377,139,13,9813,..,251,709,401,180,57,16,4,0,1617,..,15,108,237,232,91,23,8,4,717,6836,..,..,..,..,..,..,..,..,6836,..,1274,..,..,..,..,..,..,..,1274,..,498,237,40,16,3,0,0,0,800,..,168,115,25,31,76,48,21,9,486,..,170,112,29,7,10,0,0,0,334,..,278,306,59,33,18,13,0,0,706,..,82,317,251,167,143,84,25,5,1080,75,64,105,49,30,19,14,12,3,366,6907,2894,4412,5020,2732,1258,579,212,33,24041
