POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA2612,8647,7537,16184,265,254,517,447,419,862,576,465,1039,1596,1265,2863,2422,2120,4543,1043,865,1911,885,723,1609,715,568,1282,430,465,895,179,262,443,84,140,230,8149,7066,15219,500,472,970,97,69,168,9,0,7,7,3,9,108,77,183,5398,4597,9996,2390,2268,4662,5988,5188,11175,1827,1706,3530,6516,5716,12229,44,47,87,409,386,800,489,396,880,1028,803,1830,841,693,1525,6291,5460,11753,198,164,368,386,390,775,102,111,213,74,81,151,25,25,48,6339,6157,12496,2810,1572,4373
POA2614,9487,9903,19390,629,575,1203,1232,1217,2449,520,473,997,695,591,1282,1221,1283,2509,1326,1399,2721,1264,1238,2505,909,1050,1960,908,1089,1998,579,650,1228,204,333,538,8978,9397,18371,513,504,1016,118,110,224,8,11,22,3,4,3,127,126,249,6582,6832,13415,2449,2595,5050,7235,7497,14730,1843,1981,3828,8113,8465,16571,120,110,228,1176,1162,2341,435,404,832,364,320,680,484,619,1099,5548,5683,11230,348,353,705,835,986,1819,215,287,496,194,259,447,35,40,83,8837,9195,18031,428,489,926
POA2615,21666,22506,44177,1822,1703,3524,3196,2850,6045,1301,1261,2563,1336,1265,2606,3167,3489,6658,3427,3575,7009,2610,2729,5337,2150,2551,4701,1795,2082,3876,697,747,1439,158,261,420,20648,21499,42143,1020,1007,2030,429,448,881,3,19,22,13,19,28,450,483,931,16191,16519,32708,4502,4955,9455,17079,17460,34539,3659,4092,7750,19440,20065,39509,311,286,599,3024,2709,5738,969,990,1959,487,543,1024,812,1301,2118,10637,11317,21951,1048,1029,2077,2867,3114,5984,717,817,1530,435,602,1041,73,100,176,20469,21215,41678,746,799,1548
POA2617,16258,16243,32503,1011,882,1893,1551,1374,2921,954,930,1889,2087,2142,4221,3271,3197,6473,2280,2156,4436,1690,1656,3343,1603,1836,3438,1203,1245,2447,445,542,989,163,284,446,15431,15462,30885,833,786,1616,208,208,413,4,6,8,4,3,6,220,214,435,10151,9886,20036,5064,5341,10409,10724,10481,21211,4524,4761,9288,12788,12647,25440,160,164,324,1439,1300,2736,735,768,1500,1281,1346,2627,1129,1281,2409,9963,9924,19889,559,547,1104,1399,1628,3025,398,423,816,296,379,674,64,83,145,14199,14187,28386,1936,2050,3985
POA2618,720,732,1445,36,28,64,94,110,202,66,60,123,43,33,81,50,50,104,88,116,206,112,110,226,88,106,193,88,85,175,44,32,70,5,3,7,676,687,1365,41,44,78,15,8,22,0,0,0,0,0,0,15,8,22,575,559,1137,85,108,193,619,633,1256,43,39,86,625,649,1276,3,0,5,91,102,192,49,50,96,17,18,33,20,32,53,344,373,718,36,32,69,112,100,215,30,15,44,14,10,23,3,0,3,648,657,1306,57,54,110
POA2900,947,982,1930,66,57,123,54,46,102,37,34,69,72,70,140,243,228,468,152,116,267,101,118,214,103,125,231,85,117,199,37,54,85,7,16,25,888,913,1810,56,63,121,14,9,25,0,0,0,0,0,0,16,9,27,537,573,1109,360,356,713,612,648,1265,274,279,550,739,747,1489,13,13,23,46,46,88,30,20,49,21,21,40,36,51,93,601,553,1154,36,41,81,90,173,257,26,32,64,17,16,35,0,3,4,865,893,1755,170,115,284
POA2902,7315,7581,14900,537,484,1017,1003,946,1952,462,474,942,408,373,780,847,846,1695,1015,1080,2092,963,1036,2001,918,1119,2040,854,863,1716,261,287,551,44,72,119,6916,7191,14104,402,386,792,148,176,324,9,10,21,8,12,17,159,201,362,5604,5696,11305,1333,1483,2820,6136,6260,12396,827,961,1781,6586,6844,13434,86,83,174,938,880,1817,377,373,751,139,156,298,190,398,585,3619,3761,7380,364,367,723,992,1147,2136,270,289,555,193,202,393,22,23,43,6846,7109,13961,295,292,580
POA2903,4559,4646,9207,323,278,605,630,565,1196,284,285,571,287,244,529,525,560,1083,633,633,1269,603,648,1246,638,776,1415,461,460,920,153,141,290,32,53,84,4338,4436,8779,217,208,426,118,121,239,4,3,7,3,0,4,128,126,253,3451,3376,6827,905,1053,1955,3713,3733,7452,651,718,1369,4140,4189,8328,61,37,98,601,536,1137,212,232,442,104,92,195,148,221,363,2310,2359,4667,232,222,459,619,720,1338,155,174,331,90,100,193,13,19,34,4313,4406,8720,132,133,266
POA2904,6208,6659,12863,410,351,759,762,764,1524,430,410,839,409,352,763,695,720,1415,733,811,1543,835,973,1807,997,1130,2127,616,589,1204,216,332,555,106,221,329,5838,6332,12172,367,326,687,104,111,219,0,3,3,6,3,8,112,116,222,4619,4825,9445,1297,1444,2743,5050,5250,10297,886,1045,1929,5650,5952,11597,62,67,136,729,715,1452,344,346,692,168,153,325,193,270,462,3360,3430,6790,323,315,636,752,1007,1758,218,241,458,107,173,279,9,16,23,5819,6208,12027,195,297,495
POA2905,14074,14544,28625,1007,1034,2035,1944,1802,3752,1049,970,2016,1056,963,2022,2122,2120,4248,1828,1966,3795,1951,2275,4227,1878,1938,3820,809,921,1729,332,406,744,90,150,238,13398,13940,27334,683,604,1284,336,359,694,4,9,19,8,9,21,353,381,732,10953,11078,22038,2491,2796,5295,11507,11830,23340,1961,2103,4065,12792,13164,25955,149,165,314,1815,1698,3518,769,719,1492,297,369,672,388,671,1058,6522,6991,13508,791,714,1509,2345,2470,4811,538,525,1065,297,345,637,37,47,87,13297,13770,27070,511,558,1064
POA2906,8539,9102,17633,653,627,1276,1213,1141,2353,708,737,1445,642,677,1321,1113,1255,2364,1144,1278,2421,1408,1637,3048,960,901,1866,441,502,939,206,267,471,55,78,131,8117,8722,16840,420,377,796,221,252,474,3,0,10,5,0,10,235,253,491,6600,7067,13666,1552,1661,3208,7052,7471,14524,1104,1274,2380,7820,8365,16189,88,103,193,1145,1098,2244,514,571,1087,200,243,439,223,415,638,3939,4380,8315,481,487,969,1398,1535,2933,312,347,662,153,184,338,26,37,66,8082,8625,16704,273,309,587
POA2911,2219,2240,4466,288,267,553,271,270,539,92,76,172,161,165,327,557,644,1202,468,402,869,200,194,391,101,135,237,57,64,117,22,30,53,4,4,9,2150,2182,4335,69,57,123,22,23,43,0,0,0,0,0,0,23,23,45,1290,1308,2601,846,857,1697,1258,1280,2541,871,870,1741,1848,1854,3699,48,38,82,250,250,498,81,68,146,85,76,168,144,163,311,1371,1400,2769,52,54,105,115,124,236,32,30,60,11,16,26,9,7,15,2127,2153,4279,69,70,137
POA2912,3040,3105,6142,232,245,480,361,370,730,181,195,378,351,327,677,654,684,1337,547,529,1073,364,357,719,215,233,450,81,117,202,37,40,73,7,11,20,2940,3002,5942,100,103,199,36,45,78,0,0,0,0,0,0,36,44,84,1596,1639,3232,1258,1284,2540,1595,1621,3217,1263,1303,2563,2213,2237,4447,40,34,77,328,348,676,150,146,295,177,174,347,213,242,450,1761,1827,3591,130,111,243,255,257,514,66,57,125,35,51,83,19,20,40,2850,2902,5756,185,167,356
POA2913,17336,17717,35053,1651,1397,3047,2358,2251,4610,1169,1085,2254,1181,1315,2496,3326,3627,6952,2862,2888,5750,2214,2334,4543,1423,1497,2921,782,902,1687,302,361,665,74,64,138,16599,17001,33607,736,720,1449,253,250,503,5,7,14,3,3,11,268,265,528,11177,11392,22565,5323,5495,10817,11323,11552,22877,5196,5356,10551,14721,14866,29587,265,245,515,2217,2114,4327,958,893,1859,528,622,1149,842,1114,1959,9518,9885,19404,704,715,1421,1595,1838,3437,437,474,903,262,325,588,66,81,143,16334,16713,33048,774,764,1538
POA2914,12491,12711,25204,1394,1308,2700,2295,2165,4459,708,777,1488,713,813,1530,2144,2471,4612,2648,2627,5273,1496,1391,2887,663,689,1352,296,333,630,119,118,237,16,25,43,12022,12324,24345,469,392,861,146,131,273,5,0,5,3,3,6,152,138,288,7772,7847,15623,4205,4397,8601,7720,7754,15472,4278,4512,8787,10525,10564,21085,268,241,513,2155,2064,4216,568,655,1223,334,390,718,648,852,1504,6607,6908,13520,485,421,911,921,1040,1970,245,258,501,130,176,305,28,53,84,11871,12210,24084,392,368,755
