POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA2900,0,0,0,6,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,3,0,5,3,3,3,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,15,3,3,89,3,4,0,0,3,121,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
POA2902,0,0,3,23,5,13,3,3,0,46,0,0,0,0,4,3,10,11,0,29,0,0,0,0,0,0,0,0,0,8,0,12,3,34,55,71,62,31,7,273,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,0,0,11,10,9,34,8,0,68,0,0,0,0,3,0,3,4,0,13,0,0,0,7,4,9,3,0,0,21,0,3,5,48,8,13,3,3,0,86,0,0,0,3,5,3,0,0,0,14,0,0,0,3,0,0,0,0,0,7,0,0,0,7,3,0,0,0,0,14,0,0,0,3,4,3,3,0,0,11,0,3,0,0,3,11,9,7,0,33,0,0,0,3,0,0,0,0,0,18,0,0,3,3,3,0,0,0,0,16,0,0,0,3,3,3,0,0,0,13,0,0,4,7,4,7,6,4,3,39,0,0,0,0,0,0,3,0,0,3
POA2903,0,0,0,17,7,7,3,0,3,36,0,0,0,0,0,4,8,0,0,14,0,0,0,0,0,0,0,0,0,7,0,11,3,27,39,45,32,14,8,179,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,0,13,0,0,0,5,5,0,12,0,0,23,0,0,0,0,0,3,5,3,0,11,0,0,0,7,4,0,0,0,0,12,3,5,8,39,8,3,8,5,0,76,0,0,0,4,5,3,3,0,0,15,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,15,0,0,0,0,4,10,8,4,3,28,0,0,0,3,0,3,4,0,0,8,0,0,0,7,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,14,3,0,0,31,0,0,0,0,0,0,4,0,0,5
POA2904,0,0,8,15,11,12,8,0,0,55,0,0,0,0,0,9,13,8,0,28,0,0,0,0,0,0,0,0,0,3,0,9,12,24,44,62,47,33,16,248,0,0,0,7,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,15,0,0,0,0,3,5,12,3,3,35,0,0,0,0,0,0,7,0,0,12,0,0,0,0,3,6,7,0,0,14,0,9,3,48,16,18,8,0,0,99,0,0,0,5,0,3,0,3,0,10,0,0,0,4,0,3,0,0,0,6,0,0,3,7,3,0,3,0,0,16,0,0,0,3,3,3,4,0,0,15,0,0,0,0,5,8,6,0,3,23,0,3,0,8,3,0,0,0,0,9,0,0,0,6,0,5,0,0,0,11,0,0,0,8,6,4,5,0,0,28,0,0,0,11,13,12,6,0,0,35,0,0,0,0,0,4,3,0,0,10
POA2905,0,3,3,40,16,20,15,0,0,100,0,0,0,3,10,16,12,11,0,47,0,0,0,0,0,0,0,0,0,10,4,18,10,61,104,118,74,40,15,447,0,3,0,18,7,4,0,0,0,30,0,3,0,8,4,0,0,0,0,16,0,0,0,9,6,12,20,11,9,72,0,0,0,3,0,5,8,4,0,20,0,0,3,8,3,6,0,0,0,22,0,20,28,140,21,23,9,3,3,251,0,0,0,8,0,5,8,0,0,23,0,0,0,4,3,8,0,0,0,15,0,0,4,12,0,0,0,0,0,20,0,0,0,4,0,4,4,0,0,19,0,0,0,4,6,12,6,6,3,39,0,0,0,3,3,0,0,0,0,10,0,3,4,10,0,3,0,0,0,23,0,0,0,9,8,5,6,3,0,41,0,0,3,17,18,20,13,3,0,71,0,0,3,0,0,3,3,0,0,12
POA2906,0,4,9,14,12,3,3,0,3,56,0,0,0,7,7,6,9,5,0,30,0,0,0,4,0,0,4,0,0,8,0,9,12,28,85,62,34,34,9,268,0,0,3,10,3,3,3,0,0,23,0,0,0,0,3,0,0,0,0,4,0,0,0,3,6,6,14,9,5,40,0,0,0,0,0,3,4,0,0,11,0,0,0,4,8,6,0,0,0,19,0,7,3,69,18,12,7,5,0,117,0,0,0,0,3,0,4,0,0,14,0,0,3,3,3,3,0,0,0,13,0,0,3,9,6,3,0,0,0,20,0,0,0,5,3,3,0,0,0,12,0,0,0,0,5,3,0,8,0,12,0,0,0,4,3,0,0,0,0,6,0,0,3,6,0,0,0,0,0,11,0,0,0,3,3,3,0,0,0,12,0,0,0,9,9,5,3,0,0,32,0,0,0,0,0,0,3,3,0,12
POA2911,0,3,29,115,21,27,6,0,0,198,0,0,0,4,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,19,8,0,3,0,0,42,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,0,0,0,24,3,4,0,110,9,3,4,5,0,136,0,0,0,8,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,0,11,0,0,5,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3
POA2912,0,0,95,118,20,35,4,0,0,274,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,8,12,3,0,46,0,0,3,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,19,6,14,11,121,18,10,3,4,0,182,0,0,0,4,0,0,0,0,0,9,0,0,0,12,0,3,0,0,0,16,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,4,0,0,0,7,0,0,13,0,0,0,6,3,0,0,0,0,7,0,3,16,73,4,4,0,0,0,102,0,0,0,3,0,0,0,0,0,3,0,0,4,6,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
POA2913,12,19,180,362,108,88,33,12,7,803,0,0,0,20,7,31,23,8,0,93,0,3,0,14,3,6,0,0,0,32,4,26,26,101,98,59,54,26,9,391,0,6,0,36,11,14,6,0,0,67,0,0,0,0,3,0,0,0,0,5,0,0,0,16,4,10,16,3,0,50,0,0,0,3,8,3,5,4,0,26,0,4,9,53,23,16,11,0,0,114,19,46,32,416,54,30,19,10,3,627,3,0,0,36,13,5,3,0,0,65,0,3,3,19,4,4,3,0,0,38,0,0,0,8,3,0,0,0,0,14,0,0,0,14,7,3,3,0,0,25,0,0,5,6,9,16,13,7,0,63,0,0,0,28,5,0,4,4,0,43,0,13,19,120,28,14,0,5,0,195,0,0,0,5,0,0,0,0,0,8,3,3,3,44,27,17,9,3,0,107,0,0,0,0,0,3,3,0,0,3
POA2914,5,17,150,305,58,51,13,6,0,610,0,0,3,10,8,10,19,11,0,60,0,3,3,9,3,3,0,0,0,27,0,47,24,81,67,30,24,7,0,286,0,3,7,17,11,3,3,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,13,13,4,5,3,0,0,43,0,3,0,4,3,0,3,4,0,14,3,4,0,35,7,14,3,0,0,61,14,57,58,549,58,36,15,0,3,789,0,3,4,24,4,0,0,0,0,38,0,3,3,20,4,5,0,0,0,30,0,3,0,6,0,0,0,0,0,13,0,3,0,13,3,0,0,0,0,20,0,0,0,8,8,11,4,0,0,26,0,3,0,16,3,0,0,0,0,24,0,9,15,95,21,4,0,0,0,154,0,0,0,0,0,0,0,0,0,3,3,7,7,42,11,8,0,0,0,77,0,0,0,0,0,0,6,0,0,6
