POA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2612,292,877,1706,673,556,324,77,11,0,4523,136,278,222,104,101,204,344,224,115,1741,36,104,191,84,60,37,44,34,24,614,465,1265,2120,865,723,568,465,262,140,6872,335,1146,2829,1110,910,493,83,5,0,6911,193,665,534,271,214,185,92,19,4,2183,18,46,119,50,30,32,9,3,0,305,31,43,50,13,7,6,3,0,0,156,581,1903,3530,1444,1163,715,184,30,4,9553,8,34,84,45,34,23,4,0,0,231,73,117,44,18,14,12,4,0,0,285,89,150,131,58,45,36,10,0,0,514,664,2049,3664,1504,1207,749,190,30,4,10069,308,568,437,200,226,419,614,355,192,3319,68,247,441,203,168,110,90,61,35,1420,1039,2863,4543,1911,1609,1282,895,443,230,14807
POA2614,253,433,1003,1152,1030,597,159,24,0,4650,216,129,223,195,164,416,881,583,294,3106,9,26,56,52,44,37,53,37,34,347,473,591,1283,1399,1238,1050,1089,650,333,8103,64,393,1352,1545,1546,728,124,20,0,5768,331,425,492,616,441,337,178,42,0,2861,21,22,97,98,75,63,24,0,0,393,3,13,32,25,19,9,10,5,0,108,420,845,1967,2276,2077,1136,337,65,4,9129,11,42,56,42,37,30,10,3,0,222,69,45,36,30,24,29,13,3,0,243,77,86,93,68,55,53,22,6,0,464,498,932,2062,2341,2130,1192,362,71,4,9585,475,290,331,270,271,703,1546,1072,488,5453,27,59,117,107,99,65,93,82,44,695,997,1282,2509,2721,2505,1960,1998,1228,538,15737
POA2615,695,1006,2800,2916,2211,1422,274,10,5,11348,508,203,540,532,393,996,1688,689,224,5779,52,55,146,131,120,131,115,44,32,830,1261,1265,3489,3575,2729,2551,2082,747,261,17957,224,1041,3878,4141,3249,1809,287,7,3,14653,831,800,1121,1394,903,778,322,24,0,6168,52,60,335,232,147,110,38,5,3,973,32,40,65,60,55,35,5,0,0,298,1140,1943,5396,5825,4348,2728,657,39,8,22086,52,98,119,113,82,50,3,0,0,522,180,85,72,63,46,59,18,0,0,522,228,182,185,179,136,109,20,0,0,1047,1373,2125,5587,6010,4480,2837,676,37,13,23134,1084,353,779,730,655,1631,2991,1308,359,9895,108,126,290,270,207,227,204,94,51,1583,2563,2606,6658,7009,5337,4701,3876,1439,420,34605
POA2617,509,1338,2528,1739,1351,971,213,9,3,8663,372,632,500,300,221,739,954,479,181,4378,51,167,173,120,79,122,81,56,102,947,930,2142,3197,2156,1656,1836,1245,542,284,13991,123,1032,3551,2518,2056,1265,220,9,0,10765,616,1140,1144,894,565,532,226,15,0,5139,27,94,223,128,68,100,29,0,0,672,32,88,67,54,24,18,10,0,0,299,799,2359,4982,3589,2723,1908,484,29,4,16879,32,94,142,99,61,45,9,0,0,480,150,200,98,44,27,38,10,0,0,565,179,294,246,148,80,78,16,4,0,1045,983,2653,5223,3738,2802,1990,503,28,4,17922,802,1265,845,443,344,1237,1791,857,303,7887,106,307,402,260,199,209,151,101,142,1881,1889,4221,6473,4436,3343,3438,2447,989,446,27686
POA2618,34,24,40,89,97,69,21,6,0,381,21,7,6,10,14,34,63,20,3,171,3,3,5,15,4,6,3,6,0,43,60,33,50,116,110,106,85,32,3,595,13,33,55,101,132,71,32,4,0,445,44,24,14,48,51,38,30,4,0,250,3,3,7,9,7,6,4,0,0,43,7,0,0,0,8,3,0,0,0,25,65,64,76,166,191,122,60,13,0,760,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,6,9,0,0,3,3,4,0,0,0,15,69,64,76,173,196,123,60,13,0,769,43,5,7,14,16,52,114,52,7,314,12,8,15,21,10,16,6,6,0,93,123,81,104,206,226,193,175,70,7,1177
POA2900,16,63,159,95,95,73,12,0,0,512,15,6,53,16,18,44,90,50,19,309,0,3,16,4,6,7,4,0,0,51,34,70,228,116,118,125,117,54,16,872,6,77,273,171,120,107,8,0,0,763,19,33,48,39,42,27,14,3,0,234,0,3,13,5,10,4,0,0,0,36,0,0,8,0,0,4,0,0,0,15,26,112,346,217,169,144,29,4,0,1051,3,0,17,15,3,3,0,0,0,43,12,0,7,0,0,0,0,0,0,21,13,3,23,15,4,3,0,0,0,59,39,117,369,232,177,142,27,4,0,1109,27,19,65,22,22,69,150,84,24,490,6,10,35,17,10,17,11,0,0,103,69,140,468,267,214,231,199,85,25,1702
POA2902,292,288,669,877,839,596,151,7,0,3716,167,64,132,149,138,472,666,261,64,2122,16,22,50,51,53,54,49,18,5,324,474,373,846,1080,1036,1119,863,287,72,6160,52,289,967,1158,1200,737,146,4,0,4562,326,240,313,462,372,331,160,15,0,2225,11,15,72,64,51,58,31,3,0,308,17,7,18,23,19,15,3,0,0,105,409,556,1380,1709,1638,1143,342,25,0,7200,19,33,25,36,31,17,5,0,0,165,76,17,25,19,11,14,11,0,0,170,96,50,44,56,41,35,12,0,0,339,498,611,1426,1770,1679,1169,352,25,4,7533,402,128,182,219,231,773,1270,484,104,3799,34,46,96,108,91,90,87,44,12,600,942,780,1695,2092,2001,2040,1716,551,119,11933
POA2903,182,208,444,525,533,445,78,3,0,2416,94,31,99,92,90,288,360,134,50,1233,6,5,23,19,25,38,24,9,7,156,285,244,560,633,648,776,460,141,53,3803,42,216,626,688,757,546,80,3,0,2947,219,159,201,285,207,215,111,5,0,1406,8,13,53,33,34,50,5,0,0,201,8,11,14,25,15,3,7,0,0,78,274,396,894,1039,1014,814,205,7,0,4641,16,27,19,25,27,11,3,0,0,128,47,18,12,11,16,16,3,0,0,118,68,48,30,34,40,23,5,0,0,252,339,441,926,1071,1052,843,207,10,0,4891,220,70,121,146,137,493,680,272,81,2209,13,16,45,46,52,84,33,14,10,315,571,529,1083,1269,1246,1415,920,290,84,7406
POA2904,230,297,602,677,828,701,92,4,0,3425,168,48,96,105,111,390,462,278,130,1786,13,13,18,32,31,41,39,53,96,334,410,352,720,811,973,1130,589,332,221,5544,61,340,835,943,1187,937,113,0,0,4412,308,231,262,314,290,346,121,4,0,1879,18,26,75,49,59,65,25,0,0,316,9,15,23,17,17,9,0,0,0,85,388,610,1192,1324,1558,1356,256,11,0,6695,7,16,41,24,19,17,0,0,0,130,49,14,3,10,4,12,3,0,0,98,60,29,42,34,26,33,4,0,0,227,450,637,1236,1356,1578,1390,263,11,0,6921,366,94,138,130,160,670,862,462,199,3083,23,23,40,53,68,76,78,81,130,576,839,763,1415,1543,1807,2127,1204,555,329,10582
POA2905,596,775,1719,1611,1892,1229,133,5,0,7957,330,146,311,279,304,628,732,376,133,3246,42,37,89,72,77,83,53,31,16,509,970,963,2120,1966,2275,1938,921,406,150,11712,218,929,2522,2332,2687,1700,161,7,0,10559,669,538,753,685,672,617,145,18,0,4101,41,54,212,114,131,121,10,0,0,683,23,33,51,38,39,31,6,0,0,225,954,1558,3536,3171,3529,2469,327,26,3,15571,54,83,82,64,55,47,3,0,0,383,162,34,35,31,32,32,6,0,0,325,216,112,121,94,88,77,11,0,0,712,1169,1668,3650,3261,3619,2542,331,26,3,16282,774,260,412,384,449,1115,1306,659,208,5567,67,96,177,144,170,159,92,54,27,984,2016,2022,4248,3795,4227,3820,1729,744,238,22832
POA2906,480,561,1016,1092,1393,546,70,7,3,5164,220,91,177,146,180,341,404,248,65,1879,36,25,57,47,66,25,23,18,6,295,737,677,1255,1278,1637,901,502,267,78,7330,166,623,1458,1473,2002,827,76,0,0,6625,549,353,366,477,459,281,78,8,0,2577,16,23,124,67,100,59,3,0,0,401,10,20,30,28,31,22,7,0,3,155,746,1029,1975,2050,2592,1185,164,10,5,9756,33,44,40,31,44,19,4,0,0,217,110,32,29,15,14,10,3,0,0,212,141,71,69,45,60,35,9,0,0,431,893,1102,2051,2096,2645,1215,173,7,5,10184,498,162,218,215,266,584,731,435,115,3226,56,54,97,111,136,66,42,25,10,600,1445,1321,2364,2421,3048,1866,939,471,131,14005
POA2911,39,119,544,349,167,68,9,0,0,1289,37,32,72,37,22,63,55,26,3,345,3,11,31,16,3,3,0,0,0,70,76,165,644,402,194,135,64,30,4,1711,13,145,758,584,271,87,10,0,0,1881,55,74,180,142,63,34,11,0,0,568,3,3,62,24,3,4,0,0,0,98,4,0,5,15,7,0,0,0,0,30,72,221,1011,768,347,131,24,0,0,2576,0,3,15,9,3,6,0,0,0,38,13,7,7,8,0,3,0,0,0,41,13,14,25,18,5,9,0,0,0,76,86,239,1035,788,356,138,24,0,0,2651,75,77,110,44,32,94,93,50,6,583,3,18,62,41,5,12,0,0,0,144,172,327,1202,869,391,237,117,53,9,3379
POA2912,116,222,510,412,295,115,25,0,0,1686,70,84,138,84,46,104,86,34,9,663,5,20,44,28,13,17,6,7,0,147,195,327,684,529,357,233,117,40,11,2492,36,233,721,643,468,171,23,4,0,2297,118,167,210,165,103,69,23,4,3,853,7,9,42,33,25,12,0,3,0,126,7,12,21,3,3,4,0,0,0,43,173,414,995,838,593,250,46,9,3,3322,3,16,27,36,14,14,0,0,0,107,36,29,26,14,7,8,0,0,0,126,36,48,53,47,24,21,3,0,0,234,211,465,1045,887,613,268,50,9,3,3553,152,167,197,118,70,146,137,62,16,1070,10,46,100,67,34,27,13,6,0,305,378,677,1337,1073,719,450,202,73,20,4933
POA2913,667,994,2892,2390,1905,874,150,6,0,9890,379,245,547,388,322,539,719,324,64,3530,36,66,183,116,102,84,40,24,0,652,1085,1315,3627,2888,2334,1497,902,361,64,14071,191,985,4087,3536,2957,1244,165,3,0,13172,828,685,1160,1062,711,486,165,11,0,5115,31,53,305,190,99,71,16,4,0,760,23,36,88,52,45,17,12,3,0,277,1075,1764,5636,4841,3812,1812,353,18,0,19323,29,50,152,96,54,45,6,0,0,434,177,66,76,41,32,33,8,0,0,434,209,121,228,144,87,75,11,0,0,867,1283,1882,5869,4982,3900,1884,363,23,3,20190,889,482,733,520,437,888,1250,598,127,5909,81,130,353,250,213,144,70,44,8,1298,2254,2496,6952,5750,4543,2921,1687,665,138,27399
POA2914,415,608,1984,2157,1183,390,52,3,0,6783,330,172,395,376,171,265,267,113,22,2106,25,38,87,91,40,36,15,5,0,348,777,813,2471,2627,1391,689,333,118,25,9242,95,601,2780,3432,1971,599,57,4,0,9534,517,419,759,860,434,196,54,3,0,3250,23,23,207,139,51,34,8,0,0,494,8,17,53,62,24,4,3,0,0,177,644,1067,3806,4491,2484,829,123,11,0,13453,30,45,85,104,36,25,0,0,0,326,128,39,45,46,10,11,3,0,0,281,154,85,132,145,51,39,5,0,0,606,795,1150,3938,4638,2528,875,131,12,0,14065,640,318,517,444,245,417,471,208,37,3292,48,66,161,198,114,60,22,12,4,688,1488,1530,4612,5273,2887,1352,630,237,43,18048
