POA_CODE_2016,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
POA2615,102,9,215,3,3,17,16,18,3,63,10,6,47,24,24,3,114,13,3,32,35,49,3,135,0,0,15,18,42,0,86,98,50,241,110,105,15,605,8,5,36,36,48,3,140,308,211,872,460,435,38,2320,225,158,547,167,203,24,1324,137,97,507,308,361,47,1458,21,11,42,25,29,4,132,13,4,45,57,128,5,258,8,0,43,24,36,16,129,893,569,2640,1447,1804,195,7540,3,0,10,9,17,3,46,0,0,0,0,3,0,3,7,3,38,28,144,5,229,8,3,26,29,85,6,155,11,10,80,109,866,30,1100,12,4,30,20,57,10,134,48,14,180,119,372,31,760,27,4,99,91,235,22,479,27,4,51,57,182,10,330,22,12,95,56,74,3,264,28,6,81,52,74,8,252,10,0,33,34,75,4,151,259,90,588,254,233,32,1444,10,15,75,68,151,9,326,718,347,1648,904,920,83,4618,405
POA2617,75,8,290,14,4,16,12,10,3,60,8,15,39,18,7,0,88,11,0,48,23,24,0,113,7,3,29,10,23,0,72,148,60,274,56,57,10,602,12,8,33,25,45,5,132,373,191,756,223,189,34,1758,230,127,446,110,115,15,1043,124,72,424,160,171,31,982,16,4,58,19,18,3,117,13,13,47,38,61,6,183,19,0,41,17,30,18,125,1085,514,2463,877,949,149,6041,0,0,4,4,12,7,30,0,0,0,0,4,0,9,9,3,47,20,66,3,150,9,3,23,21,31,3,84,22,11,88,66,469,24,670,3,4,38,15,26,3,88,74,16,221,125,188,26,644,89,4,231,136,196,27,676,34,8,63,41,57,13,214,34,15,94,41,41,11,229,40,8,89,51,47,6,241,13,3,52,25,44,3,150,398,119,706,129,127,20,1498,32,11,82,46,98,8,288,858,347,1522,454,414,52,3646,463
POA2618,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,3,3,0,0,7,3,0,21,5,6,0,38,0,0,3,3,0,0,5,16,8,20,9,7,0,49,13,11,11,7,3,0,37,3,0,11,6,8,0,32,0,0,4,0,0,3,4,0,0,0,0,6,0,5,0,0,0,0,3,0,9,36,25,88,41,49,13,245,3,0,5,7,6,7,29,0,0,0,0,0,0,0,0,0,0,3,5,0,12,0,0,0,0,3,0,3,0,0,14,12,73,0,102,0,0,0,0,3,0,5,0,0,0,0,10,4,22,0,0,3,3,4,3,14,0,0,4,0,6,0,6,0,0,3,0,0,0,7,0,0,4,0,3,0,9,0,0,5,3,3,0,15,13,6,37,7,10,0,70,0,0,4,4,4,0,16,14,8,35,12,16,0,87,16
POA2900,4,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,4,7,0,25,6,3,0,38,0,0,0,0,0,0,3,17,11,54,27,14,0,129,5,5,15,3,10,0,38,9,3,18,20,15,0,60,0,0,0,0,3,0,4,0,0,4,3,0,0,7,0,0,0,0,0,4,9,41,27,131,67,65,13,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,14,0,0,8,0,0,0,9,0,0,3,0,19,0,20,0,0,0,0,3,0,4,3,0,10,4,9,3,27,0,0,6,4,13,0,31,0,0,0,8,0,0,12,0,0,0,3,8,0,10,0,0,5,4,0,0,4,0,0,0,4,3,3,9,38,10,58,15,5,3,121,3,0,3,0,9,0,19,45,23,143,48,35,4,304,5
POA2902,34,3,69,0,0,6,5,3,0,18,3,6,3,0,9,0,19,0,0,3,5,12,0,24,0,0,6,6,14,0,30,21,18,74,33,29,5,183,6,0,23,6,12,3,55,115,75,318,160,123,25,823,49,58,171,40,42,5,368,52,39,184,112,117,21,528,0,4,12,3,11,3,38,3,3,20,15,50,3,91,0,0,11,7,15,14,49,268,215,890,456,539,90,2454,0,0,0,0,3,3,15,0,0,0,3,0,0,6,3,0,13,19,56,3,94,3,0,8,8,14,3,45,0,4,18,48,266,11,344,0,0,16,6,23,0,50,13,0,26,36,109,14,199,0,0,27,38,80,0,150,5,0,25,17,48,0,104,8,9,24,8,24,3,72,4,3,16,16,16,0,53,0,3,7,12,29,3,56,65,30,190,81,64,11,449,7,3,37,21,45,6,115,245,131,632,343,246,35,1630,99
POA2903,18,3,35,0,0,0,4,4,0,11,0,3,7,3,3,0,23,3,0,12,0,9,0,25,3,0,3,0,13,0,22,14,10,41,14,16,3,91,3,0,3,8,12,0,26,71,50,186,116,93,14,536,31,44,118,34,26,3,249,27,24,109,75,80,11,327,3,0,12,7,5,0,26,3,3,10,13,12,0,42,5,0,9,6,13,7,30,167,137,538,306,351,55,1562,0,0,0,0,3,0,4,0,0,0,0,3,0,5,3,0,11,7,30,0,52,3,0,5,0,20,0,26,3,0,21,20,156,4,208,3,0,4,7,8,0,28,11,3,39,23,66,13,148,4,0,16,15,39,11,91,5,3,12,12,28,3,58,0,3,12,5,7,0,37,3,0,16,10,13,0,39,3,3,6,0,21,0,35,51,22,123,43,45,7,283,8,0,15,11,22,0,55,167,91,379,236,175,27,1072,46
POA2904,27,4,58,0,0,3,4,6,0,15,3,3,16,3,4,0,25,0,0,6,20,10,0,43,0,0,3,6,9,0,21,17,10,56,22,21,5,128,4,3,8,10,22,3,50,95,73,312,192,142,18,824,57,37,180,55,43,3,379,46,50,172,112,93,18,492,0,3,11,6,4,0,20,12,0,19,18,50,0,95,0,0,20,4,14,7,37,237,192,849,484,507,74,2341,0,0,3,0,5,0,11,0,0,0,0,5,0,5,0,0,11,8,47,8,72,7,0,6,4,20,0,41,8,4,26,50,250,6,341,3,3,10,12,20,0,54,8,3,37,35,86,3,171,3,7,25,25,57,8,132,4,3,11,20,60,4,96,3,4,32,13,25,0,77,7,7,24,28,16,0,78,3,0,12,7,26,0,46,64,25,166,60,56,11,384,10,5,19,22,41,3,103,255,152,603,338,290,31,1676,102
POA2905,56,3,115,0,4,10,20,31,9,63,0,0,15,12,9,5,45,0,0,11,17,25,9,70,9,0,11,17,28,4,63,15,26,101,64,74,4,280,4,3,14,28,49,5,112,155,117,527,398,381,42,1624,67,62,286,101,130,9,653,63,58,325,254,311,39,1054,0,3,15,17,18,6,59,4,3,28,46,96,3,180,0,0,16,17,32,17,85,334,295,1475,1095,1422,178,4805,0,0,4,4,9,3,20,0,0,0,0,6,0,6,0,0,17,29,171,3,221,3,0,14,19,68,3,113,3,3,34,82,749,37,918,3,0,15,20,62,5,106,15,6,98,84,273,29,502,5,3,46,49,148,17,272,9,9,26,49,160,18,275,10,5,38,33,38,8,129,3,7,24,30,38,11,115,6,0,19,32,58,4,122,87,38,256,162,163,24,725,8,3,28,57,105,11,222,353,216,1003,775,743,75,3171,120
POA2906,34,0,71,0,0,3,3,10,0,24,0,0,7,11,9,0,35,3,3,13,24,9,3,49,0,0,11,18,28,0,49,8,7,62,35,46,0,163,4,0,8,11,42,5,72,70,67,335,281,240,31,1033,41,48,168,61,79,7,399,35,44,197,131,193,26,620,0,0,5,9,10,3,35,3,3,16,28,70,4,122,0,0,11,11,18,16,65,178,186,902,690,899,122,2974,0,0,0,3,3,0,11,0,0,0,0,3,0,4,3,0,19,26,77,3,122,3,0,10,7,34,0,55,0,0,16,37,377,12,449,5,0,14,15,32,9,71,6,4,47,54,174,12,299,4,3,27,41,106,8,178,4,5,21,32,77,7,141,8,0,21,16,37,3,81,3,3,17,33,23,3,78,0,0,11,22,40,0,77,48,19,156,94,99,10,431,10,3,23,17,69,7,125,211,125,619,542,479,52,2029,57
POA2911,12,3,30,0,0,0,0,4,0,6,3,0,10,0,0,0,18,11,0,9,4,3,0,30,0,3,6,4,4,0,17,29,7,57,14,5,0,111,6,0,4,3,3,0,21,75,33,144,52,44,3,348,31,12,54,12,14,0,119,37,11,85,27,19,0,177,3,0,5,0,4,0,8,3,0,4,8,6,0,22,4,0,7,4,6,0,26,212,73,415,163,136,14,1009,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,17,5,0,5,0,6,0,14,8,0,26,14,62,3,116,4,0,8,3,3,0,17,19,3,22,15,18,3,84,12,0,30,14,27,3,83,8,3,4,3,6,0,27,10,5,17,6,10,0,41,18,0,15,16,6,0,51,3,0,7,3,8,0,26,81,18,133,31,15,5,276,8,3,6,6,12,3,38,212,58,277,110,94,11,753,60
