POA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA2615,23,99,124,110,120,100,30,7,621,84,280,308,205,108,48,0,0,1031,61,397,478,390,329,294,139,33,2115,94,263,237,160,104,112,43,12,1030,18,68,71,51,39,21,10,0,286,23,64,83,63,58,21,9,0,308,15,81,98,65,74,54,34,8,418,90,346,443,264,212,163,41,8,1575,87,266,325,224,232,213,55,13,1414,34,112,93,60,32,28,13,0,370,33,109,102,66,41,26,12,0,381,3,3,0,0,0,0,3,0,14,8,36,37,36,27,21,12,3,182,153,184,180,130,125,108,72,18,969,712,2314,2577,1817,1502,1205,480,109,10714,27,127,130,107,60,41,13,0,504,10,63,77,53,41,17,3,0,260,10,29,31,26,27,29,16,10,173,3,35,32,19,9,9,0,0,112,10,53,40,32,11,11,0,0,158,60,301,261,213,227,131,45,8,1247,36,286,343,200,213,213,45,6,1338,158,635
POA2617,69,153,108,103,93,70,20,6,628,114,337,281,145,99,41,8,0,1026,104,337,270,220,245,186,75,28,1461,68,179,126,77,72,73,18,5,620,14,43,53,31,24,18,4,3,191,33,141,66,46,38,8,10,5,346,14,71,46,46,55,48,24,3,309,197,516,337,223,194,132,37,8,1632,133,387,269,222,180,154,49,21,1410,60,106,71,33,26,11,3,0,319,38,77,73,24,21,16,4,0,253,5,0,0,0,3,0,0,0,16,12,33,25,30,27,14,0,0,151,237,249,158,133,105,91,44,29,1048,1111,2634,1882,1328,1182,863,280,115,9402,84,166,106,66,63,38,9,0,527,28,101,82,56,46,5,0,0,327,21,77,31,24,22,8,3,4,185,17,26,17,3,8,4,3,0,86,16,35,27,14,11,0,0,0,109,105,363,164,142,137,100,30,15,1052,66,198,173,135,190,128,46,9,941,326,656
POA2618,0,3,0,3,3,6,3,0,17,0,0,0,4,7,0,0,0,18,0,7,18,27,15,17,6,0,96,13,15,17,20,3,9,9,0,82,0,0,3,6,11,8,3,0,28,0,0,7,3,3,0,3,0,13,0,0,3,0,4,6,0,0,10,0,3,3,12,9,8,0,0,34,0,0,9,5,10,11,3,0,45,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,6,6,8,3,5,0,55,33,40,68,87,69,68,36,0,407,0,3,3,7,3,6,0,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,5,3,3,0,0,9,0,0,11,10,9,10,3,0,54,0,7,3,8,9,7,0,0,40,3,9
POA2900,0,3,0,3,3,6,0,0,18,4,72,49,17,9,0,0,0,145,0,38,20,14,18,12,3,5,111,0,4,4,7,3,3,6,0,32,0,0,0,0,0,0,0,0,3,0,3,0,3,4,4,0,0,23,0,3,4,0,0,4,6,0,20,3,17,18,16,13,8,4,0,81,3,21,7,7,6,10,5,0,61,0,4,8,3,0,0,0,0,17,5,9,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,18,12,10,11,8,0,0,57,33,199,128,75,71,56,23,6,593,0,9,12,0,3,0,0,0,27,5,32,6,3,3,3,0,0,53,3,19,7,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,11,9,14,12,16,7,3,74,7,9,9,3,11,13,11,4,64,10,53
POA2902,3,26,35,49,49,56,14,3,227,21,67,89,84,55,19,0,0,334,25,115,132,152,141,164,51,6,782,17,96,58,56,60,50,17,4,359,3,3,18,14,13,19,7,0,79,7,20,21,32,24,9,3,0,109,0,13,32,17,33,28,14,5,146,25,78,117,110,87,70,19,3,515,22,74,99,92,111,83,27,5,516,14,47,31,29,10,12,0,0,144,10,31,31,18,15,10,6,0,120,0,0,0,0,0,0,0,0,0,0,8,10,11,15,9,6,0,55,42,58,68,44,53,52,25,4,350,186,632,756,705,661,590,181,30,3744,5,25,56,40,30,24,3,0,183,5,13,24,27,27,9,0,0,105,5,5,9,13,13,4,10,0,54,0,5,6,10,7,4,0,0,24,4,15,15,11,4,4,3,0,46,18,85,92,102,113,78,28,3,514,8,50,93,79,98,89,23,4,453,46,149
POA2903,7,10,24,27,36,36,3,0,138,13,62,50,44,41,5,0,0,221,20,68,65,88,98,83,25,3,445,24,55,36,18,41,21,8,0,200,0,6,11,13,12,6,5,0,46,4,15,18,18,14,4,8,0,74,0,17,20,16,18,16,6,0,88,13,56,91,85,81,41,12,0,375,23,50,66,53,58,65,11,0,326,12,22,19,12,10,7,0,0,85,6,10,12,8,11,4,0,0,52,0,0,0,0,0,0,0,0,4,0,4,9,9,12,9,0,0,54,31,25,34,37,41,20,13,3,207,153,389,470,425,471,314,93,12,2322,3,20,27,15,16,6,0,0,85,3,14,13,22,15,3,0,0,69,0,5,8,5,10,0,0,3,34,0,3,0,3,4,0,0,0,13,0,4,8,4,0,3,0,0,32,15,41,69,64,96,37,14,0,334,3,40,66,50,61,39,15,0,270,30,95
POA2904,5,13,23,36,55,24,5,7,168,18,53,83,87,74,20,0,0,338,24,105,107,135,191,121,40,15,738,26,71,55,50,54,36,10,4,315,4,12,10,15,8,12,3,0,67,5,20,20,20,23,12,7,0,110,0,14,28,22,34,19,3,0,124,22,80,123,121,140,66,17,6,568,23,58,83,81,110,71,13,4,458,9,27,16,9,13,3,0,0,86,13,14,23,16,7,11,0,0,89,0,0,0,0,0,0,0,0,4,0,5,12,14,10,4,0,3,57,40,22,27,44,51,44,34,42,302,196,506,621,659,780,441,144,82,3423,7,24,34,39,26,18,0,3,146,7,10,13,30,22,3,0,0,85,4,6,6,7,12,5,3,0,47,3,8,6,4,0,0,0,0,22,11,3,10,9,8,5,0,0,42,33,76,90,89,152,47,30,6,527,14,59,65,85,110,50,22,3,412,47,146
POA2905,13,35,47,59,63,17,9,0,243,52,152,171,151,104,19,0,0,644,105,337,272,346,364,155,57,19,1658,82,212,109,145,135,55,22,0,769,11,44,21,30,34,17,7,3,164,12,36,39,27,37,15,4,0,162,4,39,54,39,47,28,9,3,221,47,189,211,229,206,72,25,5,983,59,140,142,119,152,51,14,5,683,37,56,49,15,19,11,0,0,184,33,72,66,47,11,9,0,0,248,0,0,0,0,3,3,0,0,15,12,11,28,24,26,8,5,0,112,119,120,97,114,99,58,41,17,674,584,1437,1308,1351,1282,531,199,57,6746,15,48,54,53,39,12,0,0,228,19,46,41,47,38,7,0,0,191,3,23,23,22,20,8,3,0,105,6,16,4,7,5,0,0,0,47,12,17,16,18,11,0,0,0,65,47,162,180,183,167,70,25,3,844,40,160,154,133,145,66,15,6,718,107,423
POA2906,4,13,24,25,30,14,8,0,120,30,78,106,116,60,12,0,0,409,54,159,180,260,200,86,43,7,986,60,115,54,77,50,24,13,3,403,8,14,24,15,14,9,3,0,82,10,27,23,28,16,7,0,0,122,3,16,20,25,20,11,5,3,98,25,106,138,159,86,40,8,0,559,33,68,90,77,84,34,12,3,403,21,26,23,30,22,4,0,3,117,19,40,37,39,18,3,0,0,163,0,0,0,0,3,0,0,0,3,6,7,16,16,10,3,3,3,61,66,61,86,85,56,32,24,10,416,330,735,817,955,662,291,120,34,3944,18,25,24,27,13,3,3,0,115,10,28,23,37,13,0,0,0,111,5,10,19,19,7,3,3,3,70,0,6,10,14,3,0,0,0,29,3,4,14,8,3,3,0,0,38,37,95,98,122,76,29,15,4,480,28,91,117,96,61,30,15,3,436,84,227
POA2911,4,20,12,18,6,7,0,0,69,16,89,117,20,7,4,0,0,243,18,48,53,24,9,13,6,0,169,5,42,30,5,12,0,3,0,101,0,9,8,3,0,0,0,0,23,7,15,11,9,5,0,0,0,50,3,10,11,3,0,3,0,0,26,24,104,64,40,24,8,0,0,275,12,39,49,15,12,9,4,0,141,3,16,12,7,3,0,0,0,40,0,8,10,5,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,8,5,4,4,0,0,0,27,10,32,30,8,6,0,0,0,86,99,455,419,159,81,45,20,3,1274,9,33,19,14,3,0,0,0,79,0,34,26,6,0,0,0,0,72,0,9,6,5,3,3,0,0,32,0,8,6,3,0,0,0,0,18,0,3,4,0,0,0,0,0,11,4,49,44,18,12,5,0,0,134,9,45,17,19,11,8,3,0,114,20,179
POA2912,12,16,18,17,14,7,3,0,82,10,96,90,36,22,4,0,0,254,32,64,61,59,31,11,3,4,262,19,22,33,12,9,4,3,0,99,0,10,6,0,3,0,0,0,18,3,12,17,10,3,0,0,0,49,4,8,8,4,3,0,0,0,26,37,100,95,55,32,10,0,0,337,20,55,54,34,21,3,3,0,203,4,22,9,3,3,0,0,0,42,3,19,12,11,4,0,4,0,57,11,3,0,0,3,0,0,0,12,0,4,13,7,0,0,0,0,24,34,66,38,19,18,3,3,0,188,191,504,449,272,165,51,19,5,1654,9,18,20,13,7,3,0,0,68,3,27,27,21,5,3,0,0,85,13,23,9,8,4,0,0,0,49,0,4,0,3,0,0,0,0,11,3,9,7,0,0,0,0,0,15,16,55,46,19,21,9,4,0,173,5,48,46,30,18,9,3,0,161,63,161
POA2913,34,79,83,95,81,33,12,0,427,68,375,412,208,108,19,0,0,1190,67,393,332,303,228,123,38,13,1497,71,250,175,100,72,56,26,3,751,9,40,34,35,27,16,4,0,162,6,85,59,55,24,12,4,0,247,9,69,56,40,47,27,12,0,255,95,482,478,380,200,80,21,0,1738,79,317,281,219,139,96,23,11,1173,36,105,81,36,27,9,9,0,292,33,125,94,45,30,8,3,0,332,4,0,0,0,0,0,0,0,11,6,30,38,27,20,10,3,4,139,138,206,184,135,76,51,34,9,822,649,2545,2300,1696,1084,531,200,44,9044,35,107,128,84,46,11,3,0,421,22,107,107,83,36,3,0,0,366,8,60,51,34,28,8,3,3,185,12,34,17,14,4,4,0,0,94,12,19,23,17,0,3,0,0,71,60,320,233,170,124,55,26,0,993,48,263,245,160,136,86,27,0,963,228,844
POA2914,14,63,91,65,20,15,5,0,267,54,325,470,161,40,4,0,0,1055,53,229,371,225,104,55,18,3,1062,46,144,127,67,35,19,12,0,439,7,20,25,24,17,0,3,0,97,8,53,58,37,16,7,0,0,183,4,38,56,38,34,13,3,0,190,59,391,459,255,95,34,13,0,1305,41,195,297,162,70,36,14,0,816,18,53,48,23,14,5,3,0,164,15,74,58,36,16,0,0,0,205,3,0,3,0,0,0,0,0,9,4,35,38,21,7,3,3,0,114,59,101,124,88,36,12,17,3,435,390,1717,2223,1203,500,205,80,11,6328,12,112,117,50,17,3,3,0,317,22,120,110,52,14,3,0,0,325,14,73,63,17,7,8,0,0,175,4,17,12,7,0,3,0,0,53,8,16,14,3,3,0,0,0,53,46,176,208,107,69,25,3,3,631,29,159,220,124,53,33,17,0,633,118,636
