POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,21,51,12,28,38,32,33,26,3,257,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
POA2902,0,0,0,8,6,8,13,3,0,0,0,0,0,0,0,34,0,0,3,0,7,8,18,23,0,4,3,3,5,0,4,90,0,0,11,32,0,0,3,0,0,0,0,0,0,0,0,45,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,39,32,17,6,3,3,6,0,0,0,0,0,0,3,107,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,9,11,6,7,3,0,0,0,0,0,0,0,41,0,3,0,13,7,8,33,64,3,7,8,7,4,3,3,171,0,0,3,4,4,6,13,3,0,0,0,0,0,0,0,29,0,0,0,3,0,0,0,3,3,0,5,0,3,0,0,18,0,0,0,0,0,0,3,3,3,4,0,0,4,3,0,29,0,0,0,3,0,10,0,0
POA2903,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,14,16,15,3,0,9,4,6,3,0,68,0,0,3,16,0,0,5,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,5,3,0,0,0,16,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,11,0,20,11,3,0,3,3,5,0,0,0,0,0,0,0,43,0,3,11,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,25,0,4,0,14,0,12,18,67,8,10,0,7,3,4,3,159,0,0,3,5,0,4,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,9,3,3,0,0
POA2904,0,0,0,0,8,4,4,0,0,0,3,0,0,0,0,22,0,0,3,0,11,25,19,13,3,3,3,5,5,5,3,99,0,0,11,28,4,3,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,10,8,0,0,0,0,0,0,0,0,18,0,35,11,9,7,6,3,3,0,0,0,0,0,0,0,76,0,4,17,6,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,8,13,3,0,0,0,0,0,0,0,0,29,0,0,0,10,9,40,31,71,4,6,7,8,4,0,3,209,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,3,3,0,5,0,3,0,0,0,0,0,10,0,0,0,0,3,0,6,3,0,0,0,0,9,5,0,23,0,0,4,10,3,14,0,0
POA2905,0,0,0,11,13,7,14,3,0,0,0,0,0,0,3,46,0,0,7,6,19,29,46,23,8,3,7,5,9,3,0,164,0,0,13,53,8,11,4,0,0,0,0,0,0,0,3,90,0,0,0,4,0,7,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,14,17,16,0,3,0,0,3,0,3,62,0,39,29,16,10,19,0,3,0,0,0,0,0,0,7,127,0,0,24,10,3,0,3,0,0,0,0,0,0,0,0,40,0,0,0,5,12,22,12,0,0,0,0,0,0,0,0,46,0,0,4,14,10,20,81,208,34,31,19,33,40,14,8,517,0,0,0,5,7,9,3,7,0,0,0,0,0,0,0,34,0,0,0,0,6,7,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,4,7,21,0,3,0,5,0,3,0,50,0,3,0,4,6,3,4,4
POA2906,0,0,0,8,4,7,10,0,0,0,3,0,0,0,0,31,0,0,0,0,5,16,18,15,0,7,6,6,7,6,3,81,0,0,15,34,3,7,3,0,0,0,0,0,0,0,0,61,0,0,0,3,0,0,7,7,0,3,0,0,0,0,0,15,0,0,0,0,6,16,3,7,0,0,3,0,0,0,0,39,0,20,15,9,4,8,3,3,0,0,0,0,3,0,0,77,0,0,4,3,4,0,0,0,0,0,0,0,0,0,3,23,0,0,3,5,10,12,10,0,0,0,0,0,0,0,0,44,0,0,5,9,6,31,55,97,11,7,7,3,4,0,3,239,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,15,0,0,0,4,3,5,4,0,0,0,8,0,0,0,0,23,0,0,0,0,0,9,17,4,0,0,0,3,6,0,0,43,0,0,3,3,3,5,0,0
POA2911,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,14,0,0,0,0,6,20,98,127,23,17,18,19,46,17,12,404,0,0,0,5,5,6,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,17,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,17,7,0,6,0,0,0,0,0,45,0,0,0,4,3,11,103,110,16,11,3,4,4,5,5,280,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,6,3,5,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA2912,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,13,0,0,0,0,4,28,88,102,22,24,29,59,76,62,36,525,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,13,6,0,0,0,0,0,0,0,21,0,3,3,0,0,3,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,0,0,4,0,0,0,5,0,42,0,0,0,0,7,13,86,97,12,26,20,44,32,10,17,364,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,9,0,0,0,0,6,3,4,0,0,5,4,8,0,0,0,40,0,0,0,0,3,0,0,3,0,0,0,9,9,0,0,20,0,0,0,0,0,0,0,3
POA2913,0,0,0,3,3,23,16,13,3,0,0,0,0,0,0,71,0,0,4,7,29,138,329,397,71,66,67,107,152,90,56,1514,0,0,31,83,13,29,17,3,0,3,0,0,0,0,3,183,0,3,0,7,4,8,21,15,0,0,13,3,4,0,5,85,0,0,0,0,10,50,35,27,0,0,0,9,0,0,3,133,0,30,7,15,9,15,10,5,3,3,0,3,0,0,0,112,0,3,9,17,8,0,7,0,0,0,4,0,0,0,0,53,0,0,0,10,43,49,52,20,4,11,4,15,4,0,9,219,0,0,0,21,14,86,333,420,67,39,61,56,83,45,33,1262,0,0,0,3,9,14,35,13,0,4,5,4,0,3,0,101,0,0,0,0,0,12,25,14,3,6,0,5,0,0,0,76,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,39,0,0,0,7,3,11,0,11
POA2914,0,0,3,8,6,4,13,16,0,0,0,3,9,0,0,58,0,0,0,0,9,61,255,303,54,47,48,97,115,75,53,1120,0,0,16,47,8,13,8,7,0,0,0,3,0,0,5,111,0,0,0,0,0,7,7,10,0,0,8,4,3,3,0,55,0,0,0,0,7,18,36,18,0,0,5,4,0,0,3,91,0,8,4,9,5,9,16,12,0,0,0,0,0,0,4,72,0,4,5,5,0,0,0,0,0,0,0,4,4,0,0,30,0,0,0,7,10,31,35,23,0,3,6,3,4,0,3,129,0,0,0,3,8,68,546,633,78,42,44,91,81,16,51,1656,0,0,0,0,5,6,21,8,3,0,0,3,9,0,0,61,0,0,0,0,3,5,23,18,3,9,0,0,3,0,0,60,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,15,0,0,0,0,3,3,9,13
