POA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2614,3,98,289,2250,2054,471,94,89,5336,0,43,479,489,35,4,0,22,1077,0,3,96,155,10,0,0,4,272,0,47,572,645,45,4,3,26,1350,9,127,201,75,0,0,0,5,415,0,26,60,24,0,0,0,0,106,0,37,23,8,0,0,0,0,69,0,3,3,0,0,0,0,0,9,9,194,284,109,0,0,0,7,602,0,0,0,3,3,0,0,0,9,0,3,0,3,0,0,0,0,9,9,335,1146,3008,2103,474,96,128,7305
POA2615,9,90,373,6651,5008,736,146,203,13210,0,88,814,1072,61,7,0,46,2091,0,4,43,124,12,0,0,7,194,0,96,855,1202,73,7,0,50,2284,0,48,67,17,5,0,0,3,136,0,43,70,9,0,0,0,0,120,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,97,137,20,5,0,0,3,260,0,0,0,0,0,3,0,0,3,0,3,3,6,3,0,0,0,13,15,282,1368,7879,5090,746,144,256,15780
POA2617,5,45,142,2893,2678,597,122,103,6587,0,58,367,347,86,5,3,14,885,0,63,280,757,133,23,8,31,1293,0,121,643,1103,219,22,9,46,2174,0,43,129,77,10,0,0,4,260,3,231,366,93,0,0,0,22,711,3,998,722,113,3,0,0,37,1884,0,3,0,0,0,0,0,0,3,9,1277,1220,277,10,0,0,61,2861,0,3,0,0,3,0,0,0,9,0,3,0,0,3,0,0,0,8,12,1455,2009,4278,2915,623,137,207,11636
POA2618,0,14,31,104,191,73,26,8,438,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,7,0,12,46,101,190,73,26,8,456
POA2900,0,0,7,45,4,0,0,0,56,0,0,45,189,17,0,0,3,248,0,0,30,105,62,3,0,0,196,0,0,73,291,78,3,0,3,442,0,11,5,3,3,0,0,0,21,0,14,88,11,4,0,0,3,121,0,113,108,15,0,0,0,4,237,0,0,0,0,0,0,0,0,0,0,133,201,30,9,0,0,6,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,280,364,91,3,0,11,873
POA2902,3,20,110,2220,1834,347,61,77,4662,0,17,214,256,39,0,0,15,539,0,0,23,71,3,0,0,0,107,0,19,240,328,43,0,0,18,647,0,14,56,5,0,0,0,3,76,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,9,0,25,56,4,3,0,0,3,96,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,60,407,2552,1878,349,61,90,5403
POA2903,0,14,89,1430,1177,232,36,50,3033,0,36,83,24,4,0,0,4,152,0,32,80,16,3,0,0,5,136,0,72,163,37,10,0,0,8,290,0,5,3,0,0,0,0,0,10,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,4,13,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,92,258,1473,1187,236,36,57,3342
POA2904,3,12,70,1447,2048,386,54,49,4067,5,8,113,201,0,0,0,12,338,0,0,30,67,14,0,0,4,117,5,6,144,270,12,0,0,19,450,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,25,208,1722,2061,386,54,67,4526
POA2905,0,34,225,4588,3045,548,102,131,8686,3,27,166,556,18,3,0,24,787,0,15,82,218,58,0,0,9,371,3,40,244,772,71,3,0,28,1159,0,0,3,0,0,0,0,80,81,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,3,0,0,0,83,96,0,0,0,0,0,0,0,0,0,0,0,8,7,3,0,0,0,23,6,76,486,5370,3120,554,104,243,9957
POA2906,4,17,58,1964,2017,388,64,60,4571,0,3,236,799,57,0,0,25,1126,0,0,4,99,33,3,0,4,142,0,3,236,903,88,4,0,28,1273,0,19,18,154,15,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,154,15,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,8,42,322,3020,2118,397,66,91,6058
POA2911,0,4,9,234,611,103,16,15,993,0,0,0,25,0,0,0,0,23,0,14,175,137,10,3,0,12,348,0,14,174,157,10,3,0,12,373,0,26,12,0,0,0,0,0,42,0,40,35,0,0,0,0,0,78,0,12,25,14,0,0,0,0,49,0,0,0,0,0,0,0,0,3,0,75,69,16,0,0,0,4,170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,99,256,409,618,106,22,27,1538
POA2912,0,0,8,94,592,101,9,10,822,0,0,3,145,31,0,0,4,193,6,75,80,239,176,21,3,12,617,6,75,86,387,210,21,3,17,806,0,18,0,0,0,0,0,0,24,0,130,58,3,0,0,0,7,203,0,114,95,0,0,0,0,3,210,0,0,0,0,0,0,0,0,0,0,259,155,4,0,3,0,16,435,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,10,338,247,484,808,124,13,47,2071
POA2913,9,17,181,2970,3655,777,115,110,7840,3,30,568,1439,54,0,0,29,2127,3,22,267,840,197,5,4,32,1366,4,48,832,2280,254,10,3,60,3487,0,15,56,15,0,0,0,0,85,0,252,239,35,0,0,0,12,543,0,40,40,23,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,308,330,69,5,0,0,14,725,0,0,0,0,3,0,0,0,3,0,3,3,12,3,0,0,0,14,15,374,1344,5325,3916,791,121,185,12072
POA2914,0,13,74,1342,3519,481,42,82,5549,0,12,127,306,41,9,0,18,510,0,48,209,507,309,14,3,15,1112,0,62,335,815,350,24,3,30,1622,0,12,8,7,3,0,0,3,35,0,106,107,43,26,0,0,0,274,0,167,151,51,20,0,0,5,391,0,0,0,0,0,0,0,0,0,0,278,256,103,52,0,0,11,701,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,356,668,2263,3926,506,41,120,7888
