POA_CODE_2016,Suburb,Population,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85_ov_P
POA2614,HAWKER,3231.666667,200.5,408.1666667,166.1666667,213.6666667,418.1666667,453.5,417.5,326.6666667,333,204.6666667,89.66666667
POA2614,COOK,3231.666667,200.5,408.1666667,166.1666667,213.6666667,418.1666667,453.5,417.5,326.6666667,333,204.6666667,89.66666667
POA2614,PAGE,3231.666667,200.5,408.1666667,166.1666667,213.6666667,418.1666667,453.5,417.5,326.6666667,333,204.6666667,89.66666667
POA2614,MACQUARIE,3231.666667,200.5,408.1666667,166.1666667,213.6666667,418.1666667,453.5,417.5,326.6666667,333,204.6666667,89.66666667
POA2615,FRASER,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,MACGREGOR,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,FLOREY,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,HOLT,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,FLYNN,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,MELBA,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,LATHAM,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,SPENCE,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,CHARNWOOD,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,HIGGINS,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2615,DUNLOP,4016.090909,320.3636364,549.5454545,233,236.9090909,605.2727273,637.1818182,485.1818182,427.3636364,352.3636364,130.8181818,38.18181818
POA2617,KALEEN,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2617,BELCONNEN,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2617,EVATT,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2617,GIRALANG,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2617,MCKELLAR,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2617,BRUCE,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2617,LAWSON,4643.285714,270.4285714,417.2857143,269.8571429,603,924.7142857,633.7142857,477.5714286,491.1428571,349.5714286,141.2857143,63.71428571
POA2618,HALL,1445,64,202,123,81,104,206,226,193,175,70,7
POA2900,GREENWAY,1930,123,102,69,140,468,267,214,231,199,85,25
POA2902,KAMBAH,14900,1017,1952,942,780,1695,2092,2001,2040,1716,551,119
POA2903,OXLEY,4603.5,302.5,598,285.5,264.5,541.5,634.5,623,707.5,460,145,42
POA2903,WANNIASSA,4603.5,302.5,598,285.5,264.5,541.5,634.5,623,707.5,460,145,42
POA2904,MACARTHUR,3215.75,189.75,381,209.75,190.75,353.75,385.75,451.75,531.75,301,138.75,82.25
POA2904,FADDEN,3215.75,189.75,381,209.75,190.75,353.75,385.75,451.75,531.75,301,138.75,82.25
POA2904,MONASH,3215.75,189.75,381,209.75,190.75,353.75,385.75,451.75,531.75,301,138.75,82.25
POA2904,GOWRIE,3215.75,189.75,381,209.75,190.75,353.75,385.75,451.75,531.75,301,138.75,82.25
POA2905,CHISHOLM,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2905,THEODORE,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2905,BONYTHON,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2905,RICHARDSON,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2905,GILMORE,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2905,CALWELL,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2905,ISABELLA PLAINS,4089.285714,290.7142857,536,288,288.8571429,606.8571429,542.1428571,603.8571429,545.7142857,247,106.2857143,34
POA2906,BANKS,5877.666667,425.3333333,784.3333333,481.6666667,440.3333333,788,807,1016,622,313,157,43.66666667
POA2906,GORDON,5877.666667,425.3333333,784.3333333,481.6666667,440.3333333,788,807,1016,622,313,157,43.66666667
POA2906,CONDER,5877.666667,425.3333333,784.3333333,481.6666667,440.3333333,788,807,1016,622,313,157,43.66666667
POA2911,CRACE,2233,276.5,269.5,86,163.5,601,434.5,195.5,118.5,58.5,26.5,4.5
POA2911,MITCHELL,2233,276.5,269.5,86,163.5,601,434.5,195.5,118.5,58.5,26.5,4.5
POA2912,GUNGAHLIN,6142,480,730,378,677,1337,1073,719,450,202,73,20
POA2913,NGUNNAWAL,5842.166667,507.8333333,768.3333333,375.6666667,416,1158.666667,958.3333333,757.1666667,486.8333333,281.1666667,110.8333333,23
POA2913,TAYLOR,5842.166667,507.8333333,768.3333333,375.6666667,416,1158.666667,958.3333333,757.1666667,486.8333333,281.1666667,110.8333333,23
POA2913,PALMERSTON,5842.166667,507.8333333,768.3333333,375.6666667,416,1158.666667,958.3333333,757.1666667,486.8333333,281.1666667,110.8333333,23
POA2913,NICHOLLS,5842.166667,507.8333333,768.3333333,375.6666667,416,1158.666667,958.3333333,757.1666667,486.8333333,281.1666667,110.8333333,23
POA2913,CASEY,5842.166667,507.8333333,768.3333333,375.6666667,416,1158.666667,958.3333333,757.1666667,486.8333333,281.1666667,110.8333333,23
POA2913,FRANKLIN,5842.166667,507.8333333,768.3333333,375.6666667,416,1158.666667,958.3333333,757.1666667,486.8333333,281.1666667,110.8333333,23
POA2914,JACKA,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
POA2914,FORDE,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
POA2914,BONNER,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
POA2914,THROSBY,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
POA2914,AMAROO,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
POA2914,HARRISON,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
POA2914,MONCRIEFF,3600.571429,385.7142857,637,212.5714286,218.5714286,658.8571429,753.2857143,412.4285714,193.1428571,90,33.85714286,6.142857143
