POA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA2617,499,335,143,95,118,63,39,1301,119,112,58,45,55,17,15,418,149,127,55,33,51,21,14,447,846,717,352,218,288,121,69,2625,3,6,0,6,0,0,0,18,1619,1299,610,398,513,221,135,4796,38,40,38,18,42,21,13,205,25,19,15,12,22,14,5,99,11,20,6,11,14,9,3,70,98,126,93,72,96,18,11,513,10,5,0,0,0,0,0,19,174,204,154,114,177,57,28,903,1794,1504,765,515,685,273,161,5702
POA2618,0,0,0,3,9,0,0,9,5,9,5,3,7,0,0,23,3,9,8,0,0,3,0,30,40,65,43,32,46,15,14,259,0,0,0,0,0,0,0,0,48,78,60,41,59,24,15,321,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,13,0,0,0,0,3,0,0,3,3,4,3,3,4,3,0,23,56,84,58,44,64,24,20,346
POA2900,69,24,5,3,5,0,0,112,4,3,0,0,3,6,0,15,3,0,0,0,0,0,0,10,16,11,3,5,4,5,0,54,0,0,0,0,0,0,0,3,100,38,18,6,14,14,0,186,0,4,3,3,3,4,3,20,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,9,11,9,6,4,11,3,0,43,0,0,0,0,0,0,0,0,15,11,9,8,14,6,3,68,109,53,27,17,23,16,5,257
POA2902,103,79,58,43,56,29,17,391,93,88,33,27,33,11,9,300,64,79,39,34,41,8,14,288,542,514,275,166,241,97,33,1875,0,6,4,0,0,0,0,12,803,765,411,278,372,149,77,2854,3,17,6,8,17,4,0,61,21,16,18,5,13,9,3,87,3,13,6,7,11,3,0,46,107,122,90,54,74,31,12,489,4,6,0,0,0,0,0,15,148,169,126,78,117,48,19,700,948,930,543,352,486,202,90,3554
POA2903,73,88,45,35,45,31,7,325,28,46,36,20,20,9,4,165,62,57,27,9,28,11,9,213,325,306,147,83,122,48,23,1052,0,3,0,0,0,0,0,5,494,501,261,151,219,96,44,1763,9,3,10,4,5,8,3,41,6,5,10,3,5,7,0,41,3,16,4,3,5,0,0,33,60,81,56,25,47,10,4,288,5,6,3,0,0,0,0,12,85,103,77,40,74,26,11,419,573,604,339,192,289,127,54,2175
POA2904,101,104,65,53,65,42,21,439,50,57,44,21,37,22,10,235,67,79,42,17,41,14,9,270,436,419,193,130,227,91,56,1553,3,0,0,4,4,0,0,13,654,655,343,227,373,162,95,2513,8,10,11,3,14,7,6,51,9,5,3,3,5,4,0,38,3,6,4,8,8,3,3,24,37,84,41,34,64,26,16,302,5,9,0,0,3,0,0,18,55,115,62,54,86,43,20,437,714,769,407,278,460,200,116,2946
POA2905,268,254,156,96,137,82,35,1029,141,122,80,45,76,30,5,499,120,98,44,28,51,20,15,383,1117,1038,510,312,482,172,88,3722,8,3,4,0,0,0,0,18,1644,1520,801,486,741,300,152,5650,29,25,17,17,29,11,8,130,38,35,28,22,23,11,7,157,9,21,19,17,15,6,9,89,190,250,189,123,198,59,30,1029,17,9,5,3,3,0,0,37,278,330,263,179,265,87,50,1447,1924,1853,1059,667,1006,390,205,7097
POA2906,153,151,79,56,86,61,34,614,84,87,42,26,68,17,13,340,90,78,39,25,40,18,9,284,683,602,360,262,365,131,61,2464,3,4,4,0,0,0,0,16,1004,921,525,366,559,230,112,3718,7,13,8,3,8,3,4,52,19,25,18,10,18,3,4,99,10,19,7,0,14,3,3,66,140,148,122,62,103,37,15,631,0,0,0,0,4,0,0,6,183,208,159,76,153,52,23,861,1188,1127,680,449,712,279,136,4576
POA2911,211,145,55,34,33,20,9,510,39,24,3,4,6,0,0,83,44,28,5,5,5,3,0,86,218,83,45,31,24,7,0,405,0,0,0,0,0,0,0,3,514,279,110,71,67,34,14,1085,3,7,3,3,3,5,0,24,0,5,7,0,3,0,0,15,5,3,0,0,3,0,0,12,8,10,5,3,3,0,0,39,0,0,0,0,0,0,0,0,19,26,15,12,12,5,4,93,531,311,127,83,80,40,20,1184
POA2912,217,139,91,39,57,35,17,590,23,21,11,5,6,5,0,69,33,28,12,7,15,0,0,96,154,139,78,45,60,20,6,504,0,3,0,0,0,0,0,10,427,336,187,97,135,55,28,1265,9,4,4,6,5,11,8,50,0,0,0,3,5,0,0,9,0,3,0,3,0,0,0,12,15,21,9,18,24,9,4,103,0,0,0,0,0,0,0,0,26,30,16,24,37,17,13,172,453,366,211,126,166,79,33,1437
POA2913,936,747,328,184,286,199,94,2776,178,142,109,49,97,44,11,623,222,185,85,52,75,48,22,678,1283,1010,496,317,457,178,49,3784,21,6,5,4,3,3,0,49,2639,2087,1020,610,911,468,177,7912,43,58,46,26,49,36,14,272,26,46,24,20,23,14,3,146,9,20,11,4,18,8,4,78,131,201,137,101,119,55,17,764,4,0,0,5,5,0,0,17,222,324,216,149,212,114,42,1269,2855,2409,1238,761,1127,577,214,9182
POA2914,933,837,385,216,263,156,60,2853,146,190,80,43,56,22,10,548,184,171,71,47,44,21,10,544,1129,927,507,281,305,91,24,3271,5,7,3,4,3,0,0,27,2397,2131,1047,595,672,289,107,7243,30,61,43,19,24,18,10,211,19,35,25,7,13,3,0,103,16,22,9,3,4,0,3,54,80,117,87,66,79,29,10,475,6,13,4,0,0,3,0,26,150,245,166,105,126,57,19,866,2550,2378,1212,698,798,348,126,8107
